year,sex,value,note
1989,3,43.93688830077589,
1990,3,43.45461241228745,
1991,3,43.03549379875501,
1992,3,42.66169548391528,
1993,3,42.20705763715171,
1994,3,41.84385866269403,
1995,3,41.28822832469071,
1996,3,40.78301782365733,
1997,3,40.19029364750521,
1998,3,39.52257071503475,
1999,3,38.74191122424956,
2000,3,37.96784184599035,
2001,3,37.11741470446198,
2002,3,36.26169780221333,
2003,3,35.38753106641366,
2004,3,34.55847391105699,
2005,3,33.77486481777348,
2006,3,33.03425419767254,
2007,3,32.35276957155916,
2008,3,31.68862134232176,
2009,3,31.12238212881877,
2010,3,30.51959950487109,
2011,3,30.02807129187025,
2012,3,29.44279727238204,
2013,3,28.93715134251916,
2014,3,28.54670360488022,
2015,3,28.14607613381626,
2016,3,27.80578842555432,
2017,3,27.43593409629231,
2018,3,27.0653156741494,
2019,3,26.6663421658852,
2020,3,26.21869124758083,
2021,3,25.82586557199565,
2022,3,25.39474006331987,
2023,3,24.8930330574877,
1989,3,42.06628085523781,
1990,3,41.24272266019494,
1991,3,41.20466377382297,
1992,3,40.66311119008715,
1993,3,39.99022267415068,
1994,3,39.25479470710371,
1995,3,38.53653187920021,
1996,3,37.68544031340322,
1997,3,36.79669915675105,
1998,3,35.86412993474199,
1999,3,34.91063101169637,
2000,3,33.75340272513122,
2001,3,32.76233286368583,
2002,3,31.60334317412498,
2003,3,30.35866451065187,
2004,3,29.13161866238168,
2005,3,27.98888037436115,
2006,3,26.89134774118362,
2007,3,25.83297017802838,
2008,3,24.84331612664643,
2009,3,23.9278677572208,
2010,3,23.06659556733114,
2011,3,22.19172064613164,
2012,3,21.06851901184543,
2013,3,20.40573226635495,
2014,3,19.45150290660091,
2015,3,18.94929216777981,
2016,3,18.12541471040862,
2017,3,17.46055091539023,
2018,3,17.37257177730308,
2019,3,16.82280485501193,
2020,3,16.68619714434427,
2021,3,16.37523349608336,
2022,3,16.04858633782287,
2023,3,15.63346029047429,
1989,3,8.598735056539173,
1990,3,8.21985126395281,
1991,3,7.942161826348792,
1992,3,7.663884571751851,
1993,3,7.427185115125078,
1994,3,7.255715669868386,
1995,3,6.999479552207057,
1996,3,6.685940488585191,
1997,3,6.370523647021097,
1998,3,6.090830333685622,
1999,3,5.766200231856391,
2000,3,5.493193857487254,
2001,3,5.285307207893469,
2002,3,5.075570445289471,
2003,3,4.852978793763612,
2004,3,4.62511088970322,
2005,3,4.4049689094222,
2006,3,4.186701637390596,
2007,3,3.97931151343267,
2008,3,3.781509404528215,
2009,3,3.638849455203348,
2010,3,3.534975648134969,
2011,3,3.487155299862833,
2012,3,3.460649014438049,
2013,3,3.393923492842863,
2014,3,3.280350313470593,
2015,3,3.127056010567676,
2016,3,2.978773812219864,
2017,3,2.853484289888707,
2018,3,2.753325374461602,
2019,3,2.65536477109329,
2020,3,2.554847241393488,
2021,3,2.457364021666996,
2022,3,2.377361951360592,
2023,3,2.334380578724057,
1989,3,23.27770409324341,
1990,3,22.53903064444289,
1991,3,21.88453992542889,
1992,3,21.25192774621355,
1993,3,20.60983437755305,
1994,3,19.9612887496092,
1995,3,19.28667829035866,
1996,3,18.6025175346386,
1997,3,17.90719692157836,
1998,3,17.27289393931109,
1999,3,16.655595154631,
2000,3,15.97536484904559,
2001,3,15.2611356630463,
2002,3,14.53523204920215,
2003,3,13.89776725165902,
2004,3,13.3403252550784,
2005,3,12.83028331205517,
2006,3,12.3966907146732,
2007,3,12.0230400298492,
2008,3,11.68988740565703,
2009,3,11.40077625535811,
2010,3,11.14630784399257,
2011,3,10.84061441638954,
2012,3,10.58365640733584,
2013,3,10.32805586651527,
2014,3,10.10985661011616,
2015,3,10.10455163171932,
2016,3,10.2043684698804,
2017,3,9.902487010932045,
2018,3,9.793591149470675,
2019,3,9.706340794436382,
2020,3,9.602270577308628,
2021,3,9.375929000024723,
2022,3,9.026100582615214,
2023,3,8.658984623672687,
1989,3,5.865601139628584,
1990,3,5.643072925087496,
1991,3,5.446668101317,
1992,3,5.28511590233748,
1993,3,5.147635920461117,
1994,3,5.024445408716167,
1995,3,4.915348895247635,
1996,3,4.817952336196455,
1997,3,4.733696354757575,
1998,3,4.665095554244047,
1999,3,4.609571560412713,
2000,3,4.573228877633097,
2001,3,4.560281857543034,
2002,3,4.567923323706787,
2003,3,4.564970718551174,
2004,3,4.521548338437516,
2005,3,4.442393262388073,
2006,3,4.354550815402117,
2007,3,4.273579520766277,
2008,3,4.197522175948857,
2009,3,4.126347252237758,
2010,3,4.06869596687407,
2011,3,4.031658529115726,
2012,3,4.014157375983579,
2013,3,3.987863584573952,
2014,3,3.92489898965766,
2015,3,3.844444513298223,
2016,3,3.786275425170713,
2017,3,3.764151203358892,
2018,3,3.745132426114782,
2019,3,3.696285380432966,
2020,3,3.619114877641781,
2021,3,3.529564371753191,
2022,3,3.441291396394608,
2023,3,3.368065289335369,
1989,3,13.6520998344572,
1990,3,13.35573554243427,
1991,3,13.40789796708508,
1992,3,13.32127073181062,
1993,3,13.38573673769912,
1994,3,13.42381786575367,
1995,3,13.47124071784322,
1996,3,13.57596217897616,
1997,3,13.6764319017081,
1998,3,13.80272903294895,
1999,3,13.78157915524046,
2000,3,13.74585083788102,
2001,3,13.77825005431314,
2002,3,13.67507073607672,
2003,3,13.56744644014863,
2004,3,13.39932891072384,
2005,3,13.16888645515879,
2006,3,12.9715988010018,
2007,3,12.5222549530521,
2008,3,12.27902064610175,
2009,3,12.16481187344051,
2010,3,11.9778651425677,
2011,3,11.83877051771369,
2012,3,11.5797076710219,
2013,3,11.46991288890021,
2014,3,11.4295699513354,
2015,3,11.17553253202127,
2016,3,11.00144518122383,
2017,3,10.89393066735914,
2018,3,10.72531366681066,
2019,3,10.65869577355515,
2020,3,10.64756401159545,
2021,3,10.34293382244911,
2022,3,10.18279591354755,
2023,3,9.939292445314971,
1989,3,4.767280865610377,
1990,3,4.580566400624975,
1991,3,4.394505730869787,
1992,3,4.199633929232711,
1993,3,4.001279536275782,
1994,3,3.82942022167779,
1995,3,3.702335683812768,
1996,3,3.622169085403453,
1997,3,3.576104041029334,
1998,3,3.554030240922575,
1999,3,3.538385439466036,
2000,3,3.515491411294909,
2001,3,3.481004643233537,
2002,3,3.438266519237775,
2003,3,3.386371099361398,
2004,3,3.322377199541006,
2005,3,3.244390443074769,
2006,3,3.15917458825704,
2007,3,3.075066510446928,
2008,3,2.996485578542603,
2009,3,2.916920814897115,
2010,3,2.830625385485189,
2011,3,2.739555930320282,
2012,3,2.65581806206114,
2013,3,2.583362934383531,
2014,3,2.527966320070916,
2015,3,2.492479054205219,
2016,3,2.462981894529266,
2017,3,2.452042006095462,
2018,3,2.446400655004216,
2019,3,2.451216762795694,
2020,3,2.445801804802717,
2021,3,2.430584001499804,
2022,3,2.40734366522091,
2023,3,2.375439067413873,
1989,3,25.00110220130302,
1990,3,24.10557667112221,
1991,3,23.62022397956401,
1992,3,23.19317351719879,
1993,3,22.86299481965225,
1994,3,22.49885814973458,
1995,3,22.11815503091729,
1996,3,21.88120168758986,
1997,3,21.32756930699005,
1998,3,21.03088398829404,
1999,3,20.82187362962605,
2000,3,20.7968564861202,
2001,3,20.70007590328875,
2002,3,20.50863796761939,
2003,3,20.56242638936016,
2004,3,20.78188530149559,
2005,3,20.96606877067167,
2006,3,21.18718596643182,
2007,3,21.13967113424574,
2008,3,20.88111671409097,
2009,3,20.68764123269299,
2010,3,21.05838950515259,
2011,3,20.5137636245393,
2012,3,20.57972601675105,
2013,3,20.47642626658275,
2014,3,20.43448695116513,
2015,3,20.27553092489869,
2016,3,20.30230397816502,
2017,3,20.15225633562362,
2018,3,19.92043101152723,
2019,3,19.81141073547674,
2020,3,19.62399533328817,
2021,3,19.43986832483672,
2022,3,19.10976694357875,
2023,3,18.76714152860437,
1989,3,23.21850813482113,
1990,3,22.52648401965485,
1991,3,21.86642741670194,
1992,3,21.21411315852464,
1993,3,20.58274097474438,
1994,3,19.9369166901223,
1995,3,19.19309386352208,
1996,3,18.38815244602693,
1997,3,17.59277147167981,
1998,3,16.84727091013102,
1999,3,16.01786932832407,
2000,3,15.20834454151952,
2001,3,14.37346477667928,
2002,3,13.51326108951089,
2003,3,12.70285155724689,
2004,3,11.97242260682008,
2005,3,11.36543949799079,
2006,3,10.96132053412187,
2007,3,10.7397099738258,
2008,3,10.59294075889128,
2009,3,10.43739404408123,
2010,3,10.23817847934764,
2011,3,9.996877136436018,
2012,3,9.737159807086176,
2013,3,9.485821600008519,
2014,3,9.285550522753525,
2015,3,9.157754381605411,
2016,3,9.122373928073802,
2017,3,9.136532666388424,
2018,3,9.106431597423409,
2019,3,8.964742978267067,
2020,3,8.730176506107934,
2021,3,8.462358075343511,
2022,3,8.17728961127307,
2023,3,7.896512793148379,
1989,3,27.78897177967736,
1990,3,27.74247658090635,
1991,3,27.90368046540898,
1992,3,28.14782858427024,
1993,3,28.41265590024728,
1994,3,28.61369217248922,
1995,3,28.73013057397176,
1996,3,28.68715731950898,
1997,3,28.49503858536963,
1998,3,28.09731339660903,
1999,3,27.54280390752207,
2000,3,26.8559756364485,
2001,3,26.0667448168907,
2002,3,25.20404169225949,
2003,3,24.22247937526868,
2004,3,23.24226077428362,
2005,3,22.29004429332054,
2006,3,21.31614851263881,
2007,3,20.27680953678644,
2008,3,19.06429521921766,
2009,3,17.77921763240331,
2010,3,16.53486274870955,
2011,3,15.38462911435139,
2012,3,14.32521552802447,
2013,3,13.39723813474261,
2014,3,12.5884405643176,
2015,3,12.02405761533134,
2016,3,11.52176122513889,
2017,3,11.14083167504978,
2018,3,10.75655792237734,
2019,3,10.43817175561493,
2020,3,10.03709487690294,
2021,3,9.674297175838001,
2022,3,9.463058846479711,
2023,3,9.13050598259168,
1989,3,46.16289895589421,
1990,3,45.48216199725125,
1991,3,45.0352468844445,
1992,3,44.51932100806162,
1993,3,43.77515428116508,
1994,3,43.20884936825027,
1995,3,42.39690244753601,
1996,3,41.70229277391586,
1997,3,40.98953410058315,
1998,3,40.25669772504631,
1999,3,39.27608863906566,
2000,3,38.32842514408125,
2001,3,37.34144380033334,
2002,3,36.34000452722678,
2003,3,35.36414561889239,
2004,3,34.49296760962282,
2005,3,33.69792268166946,
2006,3,32.96599017640417,
2007,3,32.27191134215178,
2008,3,31.59216477072761,
2009,3,30.86048463015997,
2010,3,30.1992631158429,
2011,3,29.71445067081229,
2012,3,28.943234551454,
2013,3,28.34801932647381,
2014,3,27.93514883802254,
2015,3,27.51149639030444,
2016,3,27.08860149535565,
2017,3,26.66388755871951,
2018,3,26.11114636776476,
2019,3,25.66176258147858,
2020,3,25.22325880441097,
2021,3,24.74276081689635,
2022,3,24.29404423130476,
2023,3,23.76227451704898,
1989,3,28.00057971764387,
1990,3,27.98987882001228,
1991,3,27.39574715864693,
1992,3,26.90702264882537,
1993,3,26.32435877552943,
1994,3,25.49924666316204,
1995,3,24.98335002631954,
1996,3,23.93642330515251,
1997,3,22.89253731100397,
1998,3,21.88480357551791,
1999,3,20.93781415738257,
2000,3,19.99271899061755,
2001,3,18.68550772732338,
2002,3,17.35283118163445,
2003,3,15.59375501219401,
2004,3,14.24507979168204,
2005,3,12.95428579174769,
2006,3,11.71426097295925,
2007,3,10.6003662275515,
2008,3,9.617001297941771,
2009,3,8.740534992415682,
2010,3,7.953382207594435,
2011,3,7.267443571496895,
2012,3,6.671558900900997,
2013,3,6.111096923576206,
2014,3,5.616121422326868,
2015,3,5.136549477042093,
2016,3,4.72875432552916,
2017,3,4.344831358047191,
2018,3,3.997102538647249,
2019,3,3.703619714740103,
2020,3,3.446778159480025,
2021,3,3.232586764886407,
2022,3,3.050004350387449,
2023,3,2.896254962675658,
1989,3,11.66742790126942,
1990,3,11.34953194189567,
1991,3,11.12806917649656,
1992,3,11.03931820586466,
1993,3,10.98765677757031,
1994,3,10.91038279140063,
1995,3,10.71991232497779,
1996,3,10.40474606291922,
1997,3,10.02656314833312,
1998,3,9.548114849007947,
1999,3,9.058106667250252,
2000,3,8.601819866688828,
2001,3,8.167089719599771,
2002,3,7.70797280840993,
2003,3,7.244221812234036,
2004,3,6.815686083498271,
2005,3,6.41917739543208,
2006,3,6.016827813151752,
2007,3,5.562415553360922,
2008,3,5.161420336974883,
2009,3,4.88461416230443,
2010,3,4.744737961979435,
2011,3,4.705593921259077,
2012,3,4.65022039928975,
2013,3,4.519633372245529,
2014,3,4.288899828783447,
2015,3,3.9665219628046,
2016,3,3.655682866918582,
2017,3,3.405094772240537,
2018,3,3.205217158449335,
2019,3,3.016025857520154,
2020,3,2.811957072455884,
2021,3,2.614964809891544,
2022,3,2.43695731200107,
2023,3,2.338526606890967,
1989,3,28.18675837536128,
1990,3,28.16815824048139,
1991,3,28.28212999887587,
1992,3,28.36861164922083,
1993,3,28.36030593882134,
1994,3,28.28770720167931,
1995,3,28.15133591777823,
1996,3,28.05686025318596,
1997,3,27.93270332044343,
1998,3,27.73188297197742,
1999,3,27.427259167718,
2000,3,27.08622963316398,
2001,3,26.71717663051436,
2002,3,26.34743731159213,
2003,3,26.01327204706735,
2004,3,25.7405689475199,
2005,3,25.48611435274506,
2006,3,25.23841481627712,
2007,3,24.94584615581698,
2008,3,24.60847014669729,
2009,3,24.20553539424987,
2010,3,23.80058193606097,
2011,3,23.38333260533702,
2012,3,22.95812442687947,
2013,3,22.55137654842505,
2014,3,22.15796889003939,
2015,3,21.80895838999156,
2016,3,21.48029295547676,
2017,3,21.17587808723991,
2018,3,20.87599023902136,
2019,3,20.50661504241702,
2020,3,20.13838044415913,
2021,3,19.76202001586017,
2022,3,19.4092919027171,
2023,3,18.98193776139452,
1989,3,26.72403765375979,
1990,3,26.22262013776931,
1991,3,25.70796019955905,
1992,3,25.17197500843686,
1993,3,24.68842312110985,
1994,3,24.25764380077325,
1995,3,23.90481480533148,
1996,3,23.56265316022153,
1997,3,23.22593105020196,
1998,3,22.89654012555292,
1999,3,22.53974232071978,
2000,3,22.14430022911715,
2001,3,21.75935612716992,
2002,3,21.38446954293269,
2003,3,21.05000244880862,
2004,3,20.81224999505361,
2005,3,20.64006934187863,
2006,3,20.52074852453391,
2007,3,20.42252595823753,
2008,3,20.27119048604985,
2009,3,20.08029038000128,
2010,3,19.91578246081284,
2011,3,19.7331219377535,
2012,3,19.50224787845464,
2013,3,19.25792347784171,
2014,3,19.03696067803676,
2015,3,18.82770730017264,
2016,3,18.65225598880064,
2017,3,18.4865728677267,
2018,3,18.31821882895815,
2019,3,18.04136186892935,
2020,3,17.72244837763395,
2021,3,17.39570004168111,
2022,3,17.0785310959743,
2023,3,16.77393813120194,
1989,3,44.65957774371321,
1990,3,44.24508509058435,
1991,3,43.90335526864534,
1992,3,43.62506360977674,
1993,3,43.36583432885976,
1994,3,43.04642176282351,
1995,3,42.68428493466195,
1996,3,42.36904641327819,
1997,3,41.97333345072263,
1998,3,41.4965896734972,
1999,3,40.95280753427573,
2000,3,40.37585539032037,
2001,3,39.7737451121366,
2002,3,39.17311200511174,
2003,3,38.54070014915914,
2004,3,37.84576597285749,
2005,3,37.0974270771319,
2006,3,36.28104499215592,
2007,3,35.48399640025013,
2008,3,34.73741695975671,
2009,3,34.20387901951712,
2010,3,33.29940150620916,
2011,3,32.62427205115063,
2012,3,31.98629351756984,
2013,3,31.35832079044413,
2014,3,30.81499776681229,
2015,3,30.19431451363066,
2016,3,29.60444210738769,
2017,3,29.05642541204326,
2018,3,28.51358697579245,
2019,3,28.03070209073506,
2020,3,27.45937490547415,
2021,3,26.95788793807009,
2022,3,26.56425233225258,
2023,3,25.89114935321306,
1989,3,34.56538900672761,
1990,3,33.68610863037591,
1991,3,32.85864608416217,
1992,3,32.05890632489483,
1993,3,31.32015814112403,
1994,3,30.58200720117189,
1995,3,29.92559392485015,
1996,3,29.24865879247401,
1997,3,28.53548845883541,
1998,3,27.8074299510866,
1999,3,27.13252078304258,
2000,3,26.45132464423391,
2001,3,25.76714244874517,
2002,3,25.11634384961844,
2003,3,24.45605012678163,
2004,3,23.85462310232691,
2005,3,23.13509027612555,
2006,3,22.3505155788525,
2007,3,21.62933903747803,
2008,3,20.91651053151574,
2009,3,20.24825645527607,
2010,3,19.62355798511922,
2011,3,18.98642622493821,
2012,3,18.33898220814575,
2013,3,17.69123316169815,
2014,3,17.10936836325008,
2015,3,16.66275989433866,
2016,3,16.36505197117567,
2017,3,16.07972079862296,
2018,3,16.04181480790784,
2019,3,15.89693085125519,
2020,3,15.58545325443222,
2021,3,15.33639195951458,
2022,3,14.96647733226764,
2023,3,14.60402396997494,
1989,3,5.865601139628584,
1990,3,5.643072925087496,
1991,3,5.446668101317,
1992,3,5.28511590233748,
1993,3,5.147635920461117,
1994,3,5.024445408716167,
1995,3,4.915348895247635,
1996,3,4.817952336196455,
1997,3,4.733696354757575,
1998,3,4.665095554244047,
1999,3,4.609571560412713,
2000,3,4.573228877633097,
2001,3,4.560281857543034,
2002,3,4.567923323706787,
2003,3,4.564970718551174,
2004,3,4.521548338437516,
2005,3,4.442393262388073,
2006,3,4.354550815402117,
2007,3,4.273579520766277,
2008,3,4.197522175948857,
2009,3,4.126347252237758,
2010,3,4.06869596687407,
2011,3,4.031658529115726,
2012,3,4.014157375983579,
2013,3,3.987863584573952,
2014,3,3.92489898965766,
2015,3,3.844444513298223,
2016,3,3.786275425170713,
2017,3,3.764151203358892,
2018,3,3.745132426114782,
2019,3,3.696285380432966,
2020,3,3.619114877641781,
2021,3,3.529564371753191,
2022,3,3.441291396394608,
2023,3,3.368065289335369,
1989,3,4.730790252910315,
1990,3,4.682361208832349,
1991,3,4.690399623684438,
1992,3,4.669054075100441,
1993,3,4.53254239514947,
1994,3,4.35421901614995,
1995,3,4.166784075761762,
1996,3,3.981727982080178,
1997,3,3.841234282215116,
1998,3,3.761462237251954,
1999,3,3.71179060397103,
2000,3,3.638175928743637,
2001,3,3.525940872962884,
2002,3,3.41261147846338,
2003,3,3.336185882329829,
2004,3,3.279280905044434,
2005,3,3.215457246581793,
2006,3,3.12309506834001,
2007,3,3.022393367018137,
2008,3,2.920228253145196,
2009,3,2.814534688829863,
2010,3,2.7198544651309,
2011,3,2.636477310792677,
2012,3,2.557590435887799,
2013,3,2.483234987122426,
2014,3,2.432486451312235,
2015,3,2.41236297498809,
2016,3,2.418561870725028,
2017,3,2.430915028271049,
2018,3,2.427500285207868,
2019,3,2.411303652824698,
2020,3,2.38248945126297,
2021,3,2.349973498852834,
2022,3,2.34148171595883,
2023,3,2.323150065334694,
1989,3,12.79149508636055,
1990,3,12.38024429516457,
1991,3,11.97045607467508,
1992,3,11.57864276258156,
1993,3,11.17220621985133,
1994,3,10.77788640887196,
1995,3,10.41198395228538,
1996,3,10.0575396120924,
1997,3,9.726891837766004,
1998,3,9.394077971154818,
1999,3,9.074556556624392,
2000,3,8.775565534511154,
2001,3,8.480924495900961,
2002,3,8.217582254411942,
2003,3,7.9899106428156,
2004,3,7.809241118215337,
2005,3,7.657134166740722,
2006,3,7.538695488955414,
2007,3,7.446716784230002,
2008,3,7.386894786401157,
2009,3,7.394988219096275,
2010,3,7.287693272707878,
2011,3,7.223137067203319,
2012,3,7.14463265161864,
2013,3,7.056360461370417,
2014,3,6.971302248199187,
2015,3,6.889480703620882,
2016,3,6.805338461299672,
2017,3,6.708544032308899,
2018,3,6.60516375122471,
2019,3,6.501510483666193,
2020,3,6.304641533889729,
2021,3,6.128601471586489,
2022,3,5.955680950901929,
2023,3,5.759921388747074,
1989,3,23.12948476477992,
1990,3,22.3844838848346,
1991,3,21.71790303059564,
1992,3,21.07507382967804,
1993,3,20.40028524340695,
1994,3,19.72429967623705,
1995,3,19.05474114888569,
1996,3,18.38550812559239,
1997,3,17.72119188549378,
1998,3,17.10856019565459,
1999,3,16.54842974944322,
2000,3,15.86377952282323,
2001,3,15.14937783652765,
2002,3,14.43362890657946,
2003,3,13.8101706121828,
2004,3,13.26810839976873,
2005,3,12.74406286024772,
2006,3,12.2394049481715,
2007,3,11.75055621263761,
2008,3,11.29492917811069,
2009,3,10.91040552136292,
2010,3,10.56384676760399,
2011,3,10.24902121109305,
2012,3,9.970803614712333,
2013,3,9.702159731592483,
2014,3,9.460620916913191,
2015,3,9.52178871375172,
2016,3,9.691050932287883,
2017,3,9.214683968982886,
2018,3,9.074689745432764,
2019,3,9.009988390030331,
2020,3,8.967411404091477,
2021,3,8.762585005081919,
2022,3,8.37493289460104,
2023,3,7.956364251354025,
1989,3,28.2831396916019,
1990,3,27.64102788128191,
1991,3,26.99255290645709,
1992,3,26.35249294755569,
1993,3,25.72065537885492,
1994,3,25.05249363930242,
1995,3,24.36372038216056,
1996,3,23.69170964550765,
1997,3,22.95089388214556,
1998,3,22.24945430797845,
1999,3,21.53888397524293,
2000,3,20.83396040128159,
2001,3,20.20465111334359,
2002,3,19.62647879092948,
2003,3,19.04488879149052,
2004,3,18.56290938237286,
2005,3,18.08970989011677,
2006,3,17.6588311816824,
2007,3,17.24420088135096,
2008,3,16.80970418380218,
2009,3,16.26830237075643,
2010,3,15.80129005218536,
2011,3,15.3134363990924,
2012,3,14.85174043108288,
