year,sex,value,note,lid
1950,1,183.6011558771133,,1
1950,2,161.1151397228241,,1
1950,3,172.359898686409,,1
1951,1,181.2003701925278,,1
1951,2,159.0922921895981,,1
1951,3,170.1238602399826,,1
1952,1,178.8990944623947,,1
1952,2,157.1229100227356,,1
1952,3,167.9909974336624,,1
1953,1,176.5880286693573,,1
1953,2,155.1381498575211,,1
1953,3,165.8457964658737,,1
1954,1,174.2741763591766,,1
1954,2,153.1291753053665,,1
1954,3,163.687065243721,,1
1955,1,171.9247102737427,,1
1955,2,151.0765254497528,,1
1955,3,161.4881604909897,,1
1956,1,169.6540713310242,,1
1956,2,149.0628570318222,,1
1956,3,159.3490689992905,,1
1957,1,170.2544987201691,,1
1957,2,149.9986797571182,,1
1957,3,160.1111143827438,,1
1958,1,167.9970175027847,,1
1958,2,147.9952484369278,,1
1958,3,157.9838693141937,,1
1959,1,162.9941165447235,,1
1959,2,143.1280076503754,,1
1959,3,153.0606746673584,,1
1960,1,161.0225737094879,,1
1960,2,141.3519084453583,,1
1960,3,151.189848780632,,1
1961,1,158.9313894510269,,1
1961,2,139.5593136548996,,1
1961,3,149.2509543895721,,1
1962,1,156.9422483444214,,1
1962,2,137.9312127828598,,1
1962,3,147.4451869726181,,1
1963,1,155.0301313400269,,1
1963,2,136.2707316875458,,1
1963,3,145.6617414951324,,1
1964,1,153.1263887882233,,1
1964,2,134.5825493335724,,1
1964,3,143.8695639371872,,1
1965,1,151.5102386474609,,1
1965,2,133.1407725811005,,1
1965,3,142.3445045948029,,1
1966,1,150.763988494873,,1
1966,2,132.7259093523026,,1
1966,3,141.7625397443771,,1
1967,1,148.1673121452332,,1
1967,2,130.4263174533844,,1
1967,3,139.3133997917175,,1
1968,1,146.0918486118317,,1
1968,2,128.6851465702057,,1
1968,3,137.4056339263916,,1
1969,1,144.5046812295914,,1
1969,2,127.3366957902908,,1
1969,3,135.9393000602722,,1
1970,1,142.804890871048,,1
1970,2,125.8870810270309,,1
1970,3,134.3663930892944,,1
1971,1,141.1075741052628,,1
1971,2,124.3177652359009,,1
1971,3,132.7359974384308,,1
1972,1,139.9905383586884,,1
1972,2,123.3091652393341,,1
1972,3,131.67405128479,,1
1973,1,137.9694789648056,,1
1973,2,121.3360950350761,,1
1973,3,129.6808123588562,,1
1974,1,137.2755169868469,,1
1974,2,120.6866577267647,,1
1974,3,129.0091723203659,,1
1975,1,135.3396773338318,,1
1975,2,118.8062056899071,,1
1975,3,127.1032840013504,,1
1976,1,131.3702613115311,,1
1976,2,115.7011315226555,,1
1976,3,123.561404645443,,1
1977,1,129.1733384132385,,1
1977,2,113.6414036154747,,1
1977,3,121.4338317513466,,1
1978,1,127.0903050899506,,1
1978,2,111.6985678672791,,1
1978,3,119.4185838103294,,1
1979,1,124.6437802910805,,1
1979,2,109.3986183404922,,1
1979,3,117.0459538698196,,1
1980,1,122.5513815879822,,1
1980,2,107.4657440185547,,1
1980,3,115.0325834751129,,1
1981,1,120.4447075724602,,1
1981,2,105.5231317877769,,1
1981,3,113.0107566714287,,1
1982,1,118.1310191750526,,1
1982,2,103.2999232411385,,1
1982,3,110.7465326786041,,1
1983,1,120.4499676823616,,1
1983,2,105.7973057031631,,1
1983,3,113.1478175520897,,1
1984,1,118.4763386845589,,1
1984,2,103.9348766207695,,1
1984,3,111.2269014120102,,1
1985,1,116.3461282849312,,1
1985,2,101.8825396895409,,1
1985,3,109.1383770108223,,1
1986,1,113.7627437710762,,1
1986,2,99.38292950391769,,1
1986,3,106.6010221838951,,1
1987,1,109.2945709824562,,1
1987,2,94.99043226242065,,1
1987,3,102.1780520677567,,1
1988,1,110.9262704849243,,1
1988,2,96.76114469766617,,1
1988,3,103.8732826709747,,1
1989,1,107.0799827575684,,1
1989,2,92.9071307182312,,1
1989,3,100.0299677252769,,1
1990,1,106.3377559185028,,1
1990,2,92.21912920475006,,1
1990,3,99.31580722332001,,1
1991,1,106.998473405838,,1
1991,2,92.99643337726593,,1
1991,3,100.0333726406097,,1
1992,1,106.1364933848381,,1
1992,2,92.1827033162117,,1
1992,3,99.19867664575577,,1
1993,1,103.4846678376198,,1
1993,2,89.56611156463623,,1
1993,3,96.57047688961029,,1
1994,1,103.2507866621017,,1
1994,2,89.44931626319885,,1
1994,3,96.39871120452881,,1
1995,1,101.2264937162399,,1
1995,2,87.48826384544373,,1
1995,3,94.41398829221725,,1
1996,1,100.0748127698898,,1
1996,2,86.41354739665985,,1
1996,3,93.30439567565918,,1
1997,1,98.48913550376892,,1
1997,2,84.94690805673599,,1
1997,3,91.77868068218231,,1
1998,1,97.43833541870117,,1
1998,2,84.06198769807816,,1
1998,3,90.80731123685837,,1
1999,1,94.60485726594925,,1
1999,2,81.33551478385925,,1
1999,3,88.02565932273865,,1
2000,1,92.12162345647812,,1
2000,2,79.14219051599503,,1
2000,3,85.68788319826126,,1
2001,1,89.66841548681259,,1
2001,2,76.94597542285919,,1
2001,3,83.36716145277023,,1
2002,1,87.29299902915955,,1
2002,2,74.76476579904556,,1
2002,3,81.0886025428772,,1
2003,1,84.6872553229332,,1
2003,2,72.34612852334976,,1
2003,3,78.57750356197357,,1
2004,1,81.97017759084702,,1
2004,2,69.87205892801285,,1
2004,3,75.97537338733673,,1
2005,1,79.25482094287872,,1
2005,2,67.50078499317169,,1
2005,3,73.42498004436493,,1
2006,1,76.53761655092239,,1
2006,2,65.00247120857239,,1
2006,3,70.81550359725952,,1
2007,1,73.9239975810051,,1
2007,2,62.71501630544662,,1
2007,3,68.36593896150589,,1
2008,1,71.45810127258301,,1
2008,2,60.57102978229523,,1
2008,3,66.06230139732361,,1
2009,1,69.81386244297028,,1
2009,2,59.12229791283607,,1
2009,3,64.516581594944,,1
2010,1,67.07268953323364,,1
2010,2,56.79209157824516,,1
2010,3,61.97837740182877,,1
2011,1,66.3800984621048,,1
2011,2,56.36347830295563,,1
2011,3,61.41481548547745,,1
2012,1,63.11625242233276,,1
2012,2,53.30417305231094,,1
2012,3,58.25405195355415,,1
2013,1,61.21252849698067,,1
2013,2,51.65250599384308,,1
2013,3,56.47572129964828,,1
2014,1,60.16747653484344,,1
2014,2,50.82402005791664,,1
2014,3,55.53914606571198,,1
2015,1,58.79548564553261,,1
2015,2,49.64825510978699,,1
2015,3,54.26592752337456,,1
2016,1,57.50451236963272,,1
2016,2,48.47189784049988,,1
2016,3,53.03423851728439,,1
2017,1,56.35478720068932,,1
2017,2,47.49433323740959,,1
2017,3,51.97139456868172,,1
2018,1,54.38977852463722,,1
2018,2,45.65298184752464,,1
2018,3,50.06974190473557,,1
2019,1,53.15035581588745,,1
2019,2,44.58564892411232,,1
2019,3,48.91666024923325,,1
2020,1,51.42038688063622,,1
2020,2,43.00504177808762,,1
2020,3,47.26244881749153,,1
2021,1,50.55966600775719,,1
2021,2,42.17890277504921,,1
2021,3,46.41931504011154,,1
2022,1,50.27030780911446,,1
2022,2,41.951734572649,,1
2022,3,46.158816665411,,1
2023,1,48.13195392489433,,1
2023,2,40.01263529062271,,1
2023,3,44.12264749407768,,1
1950,1,158.7410718202591,,2
1950,2,145.5483287572861,,2
1950,3,152.1624177694321,,2
1951,1,155.604213476181,,2
1951,2,142.76222884655,,2
1951,3,149.1935402154922,,2
1952,1,151.494175195694,,2
1952,2,139.0574872493744,,2
1952,3,145.2932506799698,,2
1953,1,148.9177048206329,,2
1953,2,136.7829293012619,,2
1953,3,142.8658217191696,,2
1954,1,145.9244340658188,,2
1954,2,134.1848075389862,,2
1954,3,140.0734484195709,,2
1955,1,142.6789164543152,,2
1955,2,131.3176900148392,,2
1955,3,137.0181143283844,,2
1956,1,140.4808610677719,,2
1956,2,129.4478923082352,,2
1956,3,134.981706738472,,2
1957,1,137.4379247426987,,2
1957,2,126.7756521701813,,2
1957,3,132.1261674165726,,2
1958,1,135.1086348295212,,2
1958,2,124.7671395540237,,2
1958,3,129.9519091844559,,2
1959,1,150.2021104097366,,2
1959,2,140.3051018714905,,2
1959,3,145.2265083789825,,2
1960,1,161.7583036422729,,2
1960,2,152.2120386362076,,2
1960,3,156.9280326366425,,2
1961,1,146.5382725000381,,2
1961,2,137.1295154094696,,2
1961,3,141.806036233902,,2
1962,1,126.6069114208221,,2
1962,2,117.3412427306175,,2
1962,3,121.992215514183,,2
1963,1,121.9997927546501,,2
1963,2,112.9133850336075,,2
