loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Africa,UN regions,Aggregates,0,1,1,1,0,1,1
Asia,UN regions,Aggregates,0,1,1,1,0,1,2
Europe,UN regions,Aggregates,0,1,1,1,0,1,3
Latin America and the Caribbean,UN regions,Aggregates,0,1,1,1,0,1,4
Northern America,UN regions,Aggregates,0,1,1,1,0,1,5
Oceania,UN regions,Aggregates,0,1,1,1,0,1,6
Australia/New Zealand,UN subregions,Aggregates,0,1,1,1,0,1,7
Caribbean,UN subregions,Aggregates,0,1,1,1,0,1,8
Central America,UN subregions,Aggregates,0,1,1,1,0,1,9
Central Asia,UN subregions,Aggregates,0,1,1,1,0,1,10
Eastern Africa,UN subregions,Aggregates,0,1,1,1,0,1,11
Eastern Asia,UN subregions,Aggregates,0,1,1,1,0,1,12
Eastern Europe,UN subregions,Aggregates,0,1,1,1,0,1,13
Melanesia,UN subregions,Aggregates,0,1,1,1,0,1,14
Micronesia,UN subregions,Aggregates,0,1,1,1,0,1,15
Middle Africa,UN subregions,Aggregates,0,1,1,1,0,1,16
Northern Africa,UN subregions,Aggregates,0,1,1,1,0,1,17
Northern America,UN subregions,Aggregates,0,1,1,1,0,1,18
Northern Europe,UN subregions,Aggregates,0,1,1,1,0,1,19
Polynesia,UN subregions,Aggregates,0,1,1,1,0,1,20
South America,UN subregions,Aggregates,0,1,1,1,0,1,21
South-Eastern Asia,UN subregions,Aggregates,0,1,1,1,0,1,22
Southern Africa,UN subregions,Aggregates,0,1,1,1,0,1,23
Southern Asia,UN subregions,Aggregates,0,1,1,1,0,1,24
Southern Europe,UN subregions,Aggregates,0,1,1,1,0,1,25
Western Africa,UN subregions,Aggregates,0,1,1,1,0,1,26
Western Asia,UN subregions,Aggregates,0,1,1,1,0,1,27
Western Europe,UN subregions,Aggregates,0,1,1,1,0,1,28
High-income countries,World Bank Income groups,Aggregates,0,1,1,1,0,1,29
Low-income countries,World Bank Income groups,Aggregates,0,1,1,1,0,1,30
Lower-middle-income countries,World Bank Income groups,Aggregates,0,1,1,1,0,1,31
No income group available,World Bank Income groups,Aggregates,0,1,1,1,0,1,32
Upper-middle-income countries,World Bank Income groups,Aggregates,0,1,1,1,0,1,33
Global,global,Aggregates,0,1,1,1,0,1,34
Algeria,Africa,Countries and territories,0,1,1,1,0,1,35
Angola,Africa,Countries and territories,1,1,1,1,0,1,36
Benin,Africa,Countries and territories,1,1,1,1,1,1,37
Botswana,Africa,Countries and territories,0,1,1,1,0,1,38
Burkina Faso,Africa,Countries and territories,1,1,1,1,1,1,39
Burundi,Africa,Countries and territories,1,1,1,1,0,1,40
Cabo Verde,Africa,Countries and territories,0,1,1,1,0,1,41
Cameroon,Africa,Countries and territories,1,1,1,1,1,1,42
Central African Republic,Africa,Countries and territories,1,1,1,1,1,1,43
Chad,Africa,Countries and territories,1,1,1,1,1,1,44
Comoros,Africa,Countries and territories,1,1,1,1,1,1,45
Congo,Africa,Countries and territories,1,1,1,1,0,1,46
