year,sex,value,ageg,lid,tercile,prospect,pop,pctile
2023,1,41.94903001189232,pnm,30,3,2,,84
2013,1,2.278599422425032,pnm,25,1,2,,20
2023,3,8.432359030662194,q5_19,24,2,2,,53
2013,3,25.39623901247978,pnm,24,2,2,,73
2013,1,19.80109885334969,nnm,8,2,0,,72
2023,2,16.07158407568932,pnm,15,2,0,,61
2023,3,5.006143357604742,u20m,25,1,1,,9
2013,2,13.14117200423837,q5_19,24,2,2,,65
2013,2,2.75628874078393,nnm,3,1,2,,24
2013,1,56.56408564209225,q5_19,26,3,0,,98
2009,1,19.81670188903809,hgap,14,3,0,,99
2009,2,16.88246917724609,hgap,24,2,0,,89
2013,3,17.1589663669055,q5_19,23,3,1,,73
2013,2,57.24537745118141,u20m,23,3,1,,70
2013,3,2.395360497757792,nnm,28,1,0,,18
2013,1,18.88140029812568,q5_19,23,3,1,,76
2013,1,34.76951643824577,pnm,23,3,1,,80
2023,2,16.58468507230282,pnm,8,2,1,,62
2013,3,41.25883057713509,u20m,22,2,1,,62
2013,3,15.69465361535549,pnm,22,2,1,,61
2019,3,12.03864860534668,hgap,26,3,0,,58
2019,3,15.83747005462646,hgap,22,2,0,,84
2009,3,17.69220352172852,hgap,22,2,0,,93
2023,2,11.10756117850542,pnm,22,2,2,,55
2019,2,14.90798187255859,hgap,22,2,0,,78
2013,3,19.00120638310909,u20m,12,1,2,,40
2013,1,46.70356214046478,u20m,22,2,1,,65
2023,1,13.26847355812788,pnm,22,2,1,,58
2023,1,11.79409306496382,nnm,22,2,2,,57
2013,3,60.17884447905675,q5_19,26,3,0,,99
2023,3,2.564901020377874,nnm,12,1,2,,21
2013,3,9.369066686852555,q5_19,21,2,1,,57
2013,1,4.271171521395445,nnm,5,1,0,,31
2013,2,11.33151445537806,u20m,13,1,2,,30
2023,2,17.79177598655224,u20m,21,2,1,,38
2019,1,10.86684131622314,hgap,27,2,1,,48
2013,3,8.473789319396019,pnm,21,2,1,,47
2023,2,6.974168121814728,nnm,21,2,1,,42
2009,2,11.38113403320313,hgap,21,2,0,,52
2023,2,2.417213749140501,nnm,12,1,2,,19
2023,1,7.066338788717985,pnm,21,2,1,,42
2023,1,1.817742828279734,pnm,7,1,0,,15
2009,3,11.75410270690918,hgap,10,2,0,,56
2013,3,11.61234297499536,q5_19,8,2,0,,62
2023,3,7.068037458095811,q5_19,9,2,0,,48
2019,1,16.99560356140137,hgap,24,2,0,,89
2023,2,22.24279940128326,pnm,31,3,2,,69
2019,2,4.738316059112549,hgap,20,2,1,,11
2009,2,5.742711544036865,hgap,20,2,1,,15
2023,3,17.95918680727482,u20m,20,2,0,,38
2013,2,9.684364311397076,nnm,6,2,1,,51
2023,1,7.659666705876589,pnm,20,2,0,,44
2023,2,26.61497704684734,u20m,27,2,0,,50
2023,1,14.66972101479769,nnm,17,2,1,,63
2013,1,2.078853314742446,pnm,19,1,1,,18
2013,3,12.86040153354406,nnm,27,2,1,,60
2023,3,10.25346759706736,nnm,27,2,1,,53
2009,3,5.511939525604248,hgap,19,1,0,,14
2023,2,4.804974421858788,u20m,19,1,0,,7
