year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,3,2.564901020377874,nnm,12,-.062951952,.46870446,81.726219,,3
2023,2,7.9543087631464,nnm,6,-.019679889,4.6755967,41.219322,,3
2023,1,78.65196466445923,u20m,11,-.031284735,33.796078,57.030853,,3
2023,2,6.966210317759236,q5_19,32,.023924947,13.29044,-90.784355,,3
2019,3,163.3242645263672,hgap,9,.0010018138,168.47609,-3.1543536,,3
2023,3,30.02642653882504,pnm,11,-.039644554,10.295171,65.712967,,3
2023,2,.7031296919024488,q5_19,7,-.100194,.047007322,93.31456,,3
2023,2,4.99481810513136,q5_19,9,-.011695385,3.6423373,27.077679,,3
2019,1,175.3754119873047,hgap,12,.0017420417,185.10666,-5.5488091,,3
2019,2,160.0414886474609,hgap,32,.00072532182,163.68079,-2.2739713,,3
2023,2,17.59136613921497,q5_19,11,-.046075068,5.0702057,71.177872,,3
2023,3,2.154798246920109,nnm,13,-.065436557,.36821437,82.911888,,3
2023,3,6.126806568464538,q5_19,20,-.0049790954,5.3561106,12.579082,,3
2019,1,169.6555938720703,hgap,9,.0010641161,175.34546,-3.3537738,,3
2023,3,2.337389392778277,nnm,7,-.010621491,1.7546237,24.932335,,3
2023,2,15.76063609828993,q5_19,31,-.022930665,8.4857435,46.158623,,3
2023,1,55.60328438878059,u20m,14,-.024987111,28.320623,49.066635,,3
2023,2,14.82932455837727,nnm,14,-.02340159,7.8834343,46.838886,,3
2019,3,167.8322296142578,hgap,8,.00074434542,171.74994,-2.334301,,3
2023,1,2.157240873202682,pnm,3,-.046191558,.61981016,71.268387,,3
2023,2,6.843913751461317,q5_19,8,-.026052253,3.3870146,50.510559,,3
2023,1,16.81680838352007,q5_19,14,-.020183126,9.7516308,42.012596,,3
2023,3,50.99944770336151,u20m,14,-.025911227,25.335629,50.321758,,3
2023,2,1.737520812306936,q5_19,3,-.028969118,.79476649,54.258591,,3
2023,1,45.64352706074715,u20m,15,-.0084303487,36.351749,20.357273,,3
