year,age,sex,value,loc,heading1,heading2,lid
2010,13,1,160.470051175895,High-income countries,Aggregates,incomegr,
2000,8,2,130.1157395672424,High-income countries,Aggregates,incomegr,
2010,8,2,130.7196928497789,High-income countries,Aggregates,incomegr,
2019,8,2,131.0858806766811,High-income countries,Aggregates,incomegr,
1985,14,1,165.6050856781288,High-income countries,Aggregates,incomegr,
1990,9,1,135.9283927434248,High-income countries,Aggregates,incomegr,
2000,15,2,161.3012179157816,High-income countries,Aggregates,incomegr,
2019,9,1,137.1467215749137,High-income countries,Aggregates,incomegr,
1985,9,2,135.3844532891067,High-income countries,Aggregates,incomegr,
1985,10,1,140.7800105454782,High-income countries,Aggregates,incomegr,
1990,16,1,172.8809259347134,High-income countries,Aggregates,incomegr,
1985,18,1,174.3524432772635,High-income countries,Aggregates,incomegr,
1985,6,1,118.7695576884815,High-income countries,Aggregates,incomegr,
1990,14,1,166.0478554720851,High-income countries,Aggregates,incomegr,
2000,10,2,141.8512878690903,High-income countries,Aggregates,incomegr,
1990,9,3,135.7756266484393,High-income countries,Aggregates,incomegr,
2010,11,1,147.5625254383374,High-income countries,Aggregates,incomegr,
2019,11,1,148.0530740336776,High-income countries,Aggregates,incomegr,
2010,5,2,112.8200160147337,High-income countries,Aggregates,incomegr,
2000,13,2,157.6619867667755,High-income countries,Aggregates,incomegr,
2010,12,1,153.5862250070443,High-income countries,Aggregates,incomegr,
1985,14,2,159.4819714516991,High-income countries,Aggregates,incomegr,
2000,12,3,153.4536624499505,High-income countries,Aggregates,incomegr,
2010,16,2,162.0447524662174,High-income countries,Aggregates,incomegr,
2010,12,2,154.1236738896328,High-income countries,Aggregates,incomegr,
2000,9,2,135.8389208934791,High-income countries,Aggregates,incomegr,
2010,11,2,148.583489732502,High-income countries,Aggregates,incomegr,
1985,16,1,172.4883040243212,High-income countries,Aggregates,incomegr,
2019,19,3,170.2051610577251,High-income countries,Aggregates,incomegr,
1990,19,3,168.6479757506537,High-income countries,Aggregates,incomegr,
2000,19,1,175.8680828583498,High-income countries,Aggregates,incomegr,
1990,14,3,162.939741149793,High-income countries,Aggregates,incomegr,
1990,18,3,168.2818843450721,High-income countries,Aggregates,incomegr,
2010,18,2,162.3470465169672,High-income countries,Aggregates,incomegr,
1990,18,2,161.6552885703656,High-income countries,Aggregates,incomegr,
2000,18,1,175.5313067528203,High-income countries,Aggregates,incomegr,
1990,18,1,174.5744952419178,High-income countries,Aggregates,incomegr,
2000,10,3,141.7081411212085,High-income countries,Aggregates,incomegr,
1990,15,2,160.8705900880744,High-income countries,Aggregates,incomegr,
2010,7,2,125.1001753217662,High-income countries,Aggregates,incomegr,
2019,17,2,162.7614565678318,High-income countries,Aggregates,incomegr,
2010,17,1,175.1837246836933,High-income countries,Aggregates,incomegr,
2019,16,3,168.8832313540903,High-income countries,Aggregates,incomegr,
2000,8,1,130.7929074979172,High-income countries,Aggregates,incomegr,
1985,16,3,167.0218425495583,High-income countries,Aggregates,incomegr,
1990,5,2,111.8159543372014,High-income countries,Aggregates,incomegr,
2000,5,2,112.0735638794521,High-income countries,Aggregates,incomegr,
2010,7,1,126.0410787332142,High-income countries,Aggregates,incomegr,
1985,5,2,111.7230355459701,High-income countries,Aggregates,incomegr,
2019,6,2,119.4730157007082,High-income countries,Aggregates,incomegr,
2019,7,2,125.4001638968747,High-income countries,Aggregates,incomegr,
1990,6,3,118.6339633329043,High-income countries,Aggregates,incomegr,
2000,7,3,124.8202124821403,High-income countries,Aggregates,incomegr,
1990,15,3,165.7606764421041,High-income countries,Aggregates,incomegr,
2019,15,2,162.1704822789167,High-income countries,Aggregates,incomegr,
1985,15,2,160.7416898796216,High-income countries,Aggregates,incomegr,
2019,14,2,160.9343435428774,High-income countries,Aggregates,incomegr,
2000,13,1,160.1470286893153,High-income countries,Aggregates,incomegr,
2019,10,2,142.8331267514072,High-income countries,Aggregates,incomegr,
2010,19,3,169.6650564877243,High-income countries,Aggregates,incomegr,
2010,9,1,136.9300792860741,High-income countries,Aggregates,incomegr,
1985,14,3,162.6257583581058,High-income countries,Aggregates,incomegr,
2019,17,3,169.6067114749468,High-income countries,Aggregates,incomegr,
1990,19,2,162.0821144950017,High-income countries,Aggregates,incomegr,
1985,18,2,161.6352862393232,High-income countries,Aggregates,incomegr,
1985,12,3,152.7476183245223,High-income countries,Aggregates,incomegr,
2000,7,2,124.4395178628401,High-income countries,Aggregates,incomegr,
2019,7,1,126.0489971396235,High-income countries,Aggregates,incomegr,
1985,11,2,147.6434710499684,High-income countries,Aggregates,incomegr,
2019,6,1,120.1112511845016,High-income countries,Aggregates,incomegr,
1985,19,1,174.7262766618884,High-income countries,Aggregates,incomegr,
2000,6,3,118.8971914195338,High-income countries,Aggregates,incomegr,
2019,13,1,161.2203063445822,High-income countries,Aggregates,incomegr,
2019,5,2,113.0293241552123,High-income countries,Aggregates,incomegr,
2000,15,1,171.0414391674809,High-income countries,Aggregates,incomegr,
1985,11,3,146.9038797929717,High-income countries,Aggregates,incomegr,
2010,19,2,162.739397828672,High-income countries,Aggregates,incomegr,
1990,5,3,112.2432017750742,High-income countries,Aggregates,incomegr,
1985,12,2,153.2272978530602,High-income countries,Aggregates,incomegr,
2000,5,3,112.5155124288185,High-income countries,Aggregates,incomegr,
2010,8,3,131.1666853987516,High-income countries,Aggregates,incomegr,
2019,7,3,125.7334053379805,High-income countries,Aggregates,incomegr,
1985,7,1,124.6144216192526,High-income countries,Aggregates,incomegr,
2010,14,2,160.2734080178519,High-income countries,Aggregates,incomegr,
1985,6,2,118.1489393619051,High-income countries,Aggregates,incomegr,
1990,5,1,112.6495323259353,High-income countries,Aggregates,incomegr,
1985,7,3,124.3427149174027,High-income countries,Aggregates,incomegr,
1990,8,2,129.8902220818797,High-income countries,Aggregates,incomegr,
2019,9,3,136.9833019265921,High-income countries,Aggregates,incomegr,
2010,5,3,113.3565068203695,High-income countries,Aggregates,incomegr,
1985,8,2,129.706363052458,High-income countries,Aggregates,incomegr,
2019,13,2,158.6069918145354,High-income countries,Aggregates,incomegr,
1985,11,1,146.202290933262,High-income countries,Aggregates,incomegr,
2019,14,1,167.6698974204909,High-income countries,Aggregates,incomegr,
2000,9,3,136.0378332354776,High-income countries,Aggregates,incomegr,
1985,13,3,158.2114531548839,High-income countries,Aggregates,incomegr,
1985,17,3,167.75280177294,High-income countries,Aggregates,incomegr,
2000,18,2,162.1503500869618,High-income countries,Aggregates,incomegr,
1990,13,2,157.3631941095328,High-income countries,Aggregates,incomegr,
1990,17,1,174.0999614039352,High-income countries,Aggregates,incomegr,
2000,11,2,148.1605712130219,High-income countries,Aggregates,incomegr,
1990,10,2,141.6281118113112,High-income countries,Aggregates,incomegr,
2010,10,1,142.1921842555244,High-income countries,Aggregates,incomegr,
1990,15,1,170.3929905408648,High-income countries,Aggregates,incomegr,
2000,16,1,173.6769034761201,High-income countries,Aggregates,incomegr,
1990,6,1,118.9860462452564,High-income countries,Aggregates,incomegr,
2000,10,1,141.5730063632969,High-income countries,Aggregates,incomegr,
2010,18,1,175.707314099032,High-income countries,Aggregates,incomegr,
2019,19,2,163.1689876638296,High-income countries,Aggregates,incomegr,
2019,16,2,162.6502679034452,High-income countries,Aggregates,incomegr,
1985,6,3,118.4672050781497,High-income countries,Aggregates,incomegr,
2019,10,1,142.5361236413514,High-income countries,Aggregates,incomegr,
2010,8,1,131.5901359415066,High-income countries,Aggregates,incomegr,
2019,12,2,154.7432510621818,High-income countries,Aggregates,incomegr,
1985,17,1,173.7627034494621,High-income countries,Aggregates,incomegr,
2010,13,3,159.2524314656255,High-income countries,Aggregates,incomegr,
2019,11,3,148.588934139172,High-income countries,Aggregates,incomegr,
2000,17,2,162.007081329288,High-income countries,Aggregates,incomegr,
2000,11,3,147.5814081545441,High-income countries,Aggregates,incomegr,
1985,8,1,130.1432001901327,High-income countries,Aggregates,incomegr,
