age,sex,value,lid
7,2,118.2575645098122,1
6,3,112.8268261731299,1
13,2,150.7291831256077,1
9,2,128.8216482188996,1
9,1,127.564762768751,1
13,3,150.022641039463,1
12,1,142.7018756845834,1
18,3,162.728438052998,1
14,3,154.5718868884258,1
10,3,133.4318854762685,1
16,3,160.0112513445191,1
14,2,153.4628136374199,1
6,1,112.6783330394435,1
11,3,138.9840482690545,1
17,1,165.8608131943654,1
19,1,169.4326181650584,1
18,1,167.6780520250897,1
14,1,155.6565890078338,1
6,2,112.9783898411728,1
10,1,132.2474979630864,1
19,3,163.9483247928584,1
18,2,157.6904575225239,1
5,3,107.1840632349377,1
5,2,107.3278770819293,1
19,2,158.3777917351554,1
15,2,155.2574710296267,1
8,3,123.1331287945113,1
17,2,157.1157037021004,1
11,2,140.9147548742621,1
13,1,149.3319910212029,1
5,1,107.0431770624214,1
15,1,160.3364669784513,1
8,1,122.8261136305781,1
7,3,118.0778469279315,1
11,1,137.0962965895186,1
8,2,123.4468678181081,1
7,1,117.9018469726117,1
12,2,146.6085314743741,1
10,2,134.6433608329528,1
16,1,163.5557917150563,1
9,3,128.1861839563677,1
16,2,156.3923519888733,1
12,3,144.6330328032371,1
17,3,161.530881593435,1
15,3,157.8244213397289,1
6,1,113.8245326165314,2
8,1,124.141827075289,2
16,2,154.8398664765378,2
12,1,143.7638160673714,2
16,3,159.7331689616766,2
6,3,113.3631147647709,2
18,2,155.8225551074981,2
7,1,119.1722246693254,2
14,2,152.112566575467,2
5,1,107.9733598911371,2
9,3,128.6597101806991,2
8,3,123.6859116207045,2
9,2,128.4143910374684,2
5,2,107.111306881508,2
19,3,162.6056216193297,2
19,1,168.432288629567,2
17,1,166.170235622834,2
18,1,167.4068813520419,2
17,2,155.4400231263952,2
8,2,123.1860670162528,2
10,3,133.7464498502827,2
15,2,153.8085901051083,2
9,1,128.8832908827806,2
11,3,139.0921373678116,2
18,3,161.8451780127318,2
14,3,154.4683615268558,2
15,3,157.6714515137115,2
10,2,134.0234801451141,2
12,3,144.6118130870199,2
10,1,133.4938748212797,2
7,3,118.6655550218814,2
19,2,156.304949122986,2
11,1,138.2232096200397,2
13,2,149.4984031472226,2
5,3,107.5623509717636,2
13,3,149.940793822431,2
11,2,140.044120138414,2
15,1,161.2132945554625,2
17,3,161.023890865062,2
13,1,150.3453594607667,2
12,2,145.5400857632615,2
7,2,118.1101078600753,2
14,1,156.6248019004919,2
6,2,112.8569731342195,2
16,1,164.2312783863636,2
13,3,159.0874059708922,3
18,2,164.2992915782638,3
11,3,147.6945501604744,3
16,1,174.1616235366358,3
15,3,166.9182451292969,3
5,2,113.2921019291286,3
19,2,164.6406045347179,3
9,2,136.0254271693147,3
14,1,166.3101651353742,3
12,1,152.9645512181032,3
14,2,160.9374033847846,3
10,3,141.8940041870405,3
14,3,163.6886693059816,3
10,2,142.023005573655,3
7,3,125.4854818503328,3
13,1,159.8521695996993,3
17,2,164.0090233158732,3
19,3,171.3114420212596,3
18,3,170.8618040131611,3
6,2,119.3064483895515,3
8,2,130.411877174543,3
15,1,171.0348749607093,3
13,2,158.28461354334,3
18,1,177.164900484945,3
5,3,113.7371057954021,3
7,1,126.026979022482,3
15,2,162.6018018097925,3
10,1,141.7713099958553,3
