loc,heading1,heading2,pop23,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Afghanistan,Countries and territories,Asia,41454.76299999999,1,1,1,1,0,1,92
Africa,Aggregates,UN regions,1480770.792,0,1,1,1,0,1,1
Albania,Countries and territories,Europe,2811.662000000001,1,1,1,1,0,1,143
Algeria,Countries and territories,Africa,46164.22200000003,0,1,1,1,0,1,34
American Samoa,Countries and territories,Oceania,47.544,0,1,1,1,0,1,248
Andorra,Countries and territories,Europe,80.86899999999999,0,1,1,1,0,1,144
Angola,Countries and territories,Africa,36749.91,1,1,1,1,0,1,35
Anguilla,Countries and territories,Latin America and the Caribbean,14.43499999999999,0,1,0,0,0,0,193
Antigua and Barbuda,Countries and territories,Latin America and the Caribbean,93.33300000000007,0,1,1,1,0,1,194
Argentina,Countries and territories,Latin America and the Caribbean,45538.40299999999,0,1,1,1,0,1,195
Armenia,Countries and territories,Asia,2943.398,1,1,1,1,1,1,93
Aruba,Countries and territories,Latin America and the Caribbean,107.946,0,1,0,0,0,0,196
Asia,Aggregates,UN regions,4778004.647999996,0,1,1,1,0,1,2
Australia,Countries and territories,Oceania,26451.12599999999,0,1,1,1,0,1,249
Australia/New Zealand,Aggregates,UN subregions,31623.965,0,1,1,1,0,1,7
Austria,Countries and territories,Europe,9130.435000000001,0,1,1,1,0,1,145
Azerbaijan,Countries and territories,Asia,10318.211,1,1,1,1,0,1,94
Bahamas,Countries and territories,Latin America and the Caribbean,399.4520000000001,0,1,1,1,0,1,197
Bahrain,Countries and territories,Asia,1569.675,0,1,1,1,0,1,95
Bangladesh,Countries and territories,Asia,171466.986,1,1,1,1,1,1,96
Barbados,Countries and territories,Latin America and the Caribbean,282.3489999999999,0,1,1,1,0,1,198
Belarus,Countries and territories,Europe,9115.680999999999,0,1,1,1,0,1,146
Belgium,Countries and territories,Europe,11712.894,0,1,1,1,0,1,147
Belize,Countries and territories,Latin America and the Caribbean,411.1149999999997,0,1,1,1,0,1,199
Benin,Countries and territories,Africa,14111.037,1,1,1,1,1,1,36
Bermuda,Countries and territories,Northern America,64.72099999999999,0,1,1,1,0,1,243
Bhutan,Countries and territories,Asia,786.3870000000001,0,1,1,1,0,1,97
Bolivia,Countries and territories,Latin America and the Caribbean,12244.161,1,1,1,1,1,1,200
"Bonaire, Sint Eustatius and Saba",Countries and territories,Latin America and the Caribbean,29.91999999999999,0,1,0,0,0,0,201
Bosnia and Herzegovina,Countries and territories,Europe,3185.073000000001,0,1,1,1,0,1,148
Botswana,Countries and territories,Africa,2480.243,0,1,1,1,0,1,37
Brazil,Countries and territories,Latin America and the Caribbean,211140.731,1,1,1,1,1,1,202
British Virgin Islands,Countries and territories,Latin America and the Caribbean,39.009,0,1,0,0,0,0,203
Brunei Darussalam,Countries and territories,Asia,458.9589999999999,0,1,1,1,0,1,98
Bulgaria,Countries and territories,Europe,6795.805000000001,0,1,1,1,0,1,149
Burkina Faso,Countries and territories,Africa,23025.77800000001,1,1,1,1,1,1,38
Burundi,Countries and territories,Africa,13689.45600000001,1,1,1,1,0,1,39
Cabo Verde,Countries and territories,Africa,522.3349999999999,0,1,1,1,0,1,40
Cambodia,Countries and territories,Asia,17423.884,1,1,1,1,1,1,99
Cameroon,Countries and territories,Africa,28372.69,1,1,1,1,1,1,41
Canada,Countries and territories,Northern America,39299.09899999998,0,1,1,1,0,1,244
Caribbean,Aggregates,UN subregions,44249.656,0,1,1,1,0,1,8
Cayman Islands,Countries and territories,Latin America and the Caribbean,73.05499999999999,0,1,0,0,0,0,204
Central African Republic,Countries and territories,Africa,5152.416999999998,1,1,1,1,1,1,42
Central America,Aggregates,UN subregions,181618.111,0,1,1,1,0,1,9
Central Asia,Aggregates,UN subregions,80810.18799999999,0,1,1,1,0,1,10
Chad,Countries and territories,Africa,19319.075,1,1,1,1,1,1,43
Chile,Countries and territories,Latin America and the Caribbean,19658.834,0,1,1,1,0,1,205
China,Countries and territories,Asia,1422584.931,0,1,1,1,0,1,100
Colombia,Countries and territories,Latin America and the Caribbean,52321.152,1,1,1,1,1,1,206
Comoros,Countries and territories,Africa,850.3920000000001,1,1,1,1,1,1,44
Congo,Countries and territories,Africa,6182.889999999999,1,1,1,1,0,1,45
Congo DR,Countries and territories,Africa,105789.734,1,1,1,1,0,1,46
Cook Islands,Countries and territories,Oceania,14.244,0,1,1,1,0,1,250
Costa Rica,Countries and territories,Latin America and the Caribbean,5105.527,0,1,1,1,0,1,207
Croatia,Countries and territories,Europe,3896.024,0,1,1,1,0,1,150
Cuba,Countries and territories,Latin America and the Caribbean,11019.932,0,1,1,1,0,1,208
Curaçao,Countries and territories,Latin America and the Caribbean,185.438,0,1,0,0,0,0,209
Cyprus,Countries and territories,Asia,1344.981,0,1,1,1,0,1,101
Czechia,Countries and territories,Europe,10809.722,0,1,1,1,0,1,151
Côte d'Ivoire,Countries and territories,Africa,31165.65299999999,1,1,1,1,1,1,47
Denmark,Countries and territories,Europe,5948.134000000001,0,1,1,1,0,1,152
Djibouti,Countries and territories,Africa,1152.951999999999,0,1,1,1,0,1,48
Dominica,Countries and territories,Latin America and the Caribbean,66.53199999999998,0,1,1,1,0,1,210
Dominican Republic,Countries and territories,Latin America and the Caribbean,11331.269,1,1,1,1,1,1,211
Eastern Africa,Aggregates,UN subregions,487857.426,0,1,1,1,0,1,11
Eastern Asia,Aggregates,UN subregions,1660028.558,0,1,1,1,0,1,12
Eastern Europe,Aggregates,UN subregions,286047.4679999999,0,1,1,1,0,1,13
Ecuador,Countries and territories,Latin America and the Caribbean,17980.08,0,1,1,1,0,1,212
Egypt,Countries and territories,Africa,114535.772,1,1,1,1,1,1,49
El Salvador,Countries and territories,Latin America and the Caribbean,6309.629000000002,0,1,1,1,0,1,213
Equatorial Guinea,Countries and territories,Africa,1847.556,0,1,1,1,0,1,50
Eritrea,Countries and territories,Africa,3470.392,0,1,1,1,0,1,51
Estonia,Countries and territories,Europe,1367.196,0,1,1,1,0,1,153
Eswatini,Countries and territories,Africa,1230.509,1,1,1,1,0,1,52
Ethiopia,Countries and territories,Africa,128691.697,1,1,1,1,1,1,53
Europe,Aggregates,UN regions,745603.1640000002,0,1,1,1,0,1,3
Falkland Islands,Countries and territories,Latin America and the Caribbean,3.497999999999997,0,1,0,0,0,0,214
Faroe Islands,Countries and territories,Europe,54.73800000000002,0,1,0,0,0,0,154
Fiji,Countries and territories,Oceania,924.151,0,1,1,1,0,1,251
Finland,Countries and territories,Europe,5601.186999999996,0,1,1,1,0,1,155
France,Countries and territories,Europe,66438.82800000001,0,1,1,1,0,1,156
French Guiana,Countries and territories,Latin America and the Caribbean,303.409,0,1,0,0,0,0,215
French Polynesia,Countries and territories,Oceania,281.126,0,1,0,0,0,1,252
Gabon,Countries and territories,Africa,2484.791999999999,1,1,1,1,1,1,54
Gambia,Countries and territories,Africa,2697.848,1,1,1,1,0,1,55
Georgia,Countries and territories,Asia,3807.494000000001,0,1,1,1,0,1,102
Germany,Countries and territories,Europe,84548.23499999999,0,1,1,1,0,1,157
Ghana,Countries and territories,Africa,33787.916,1,1,1,1,1,1,56
Gibraltar,Countries and territories,Europe,38.49300000000002,0,1,0,0,0,0,158
Greece,Countries and territories,Europe,10242.91,0,1,1,1,0,1,159
Greenland,Countries and territories,Northern America,55.95100000000001,0,1,1,1,0,1,245
Grenada,Countries and territories,Latin America and the Caribbean,117.094,0,1,1,1,0,1,216
Guadeloupe,Countries and territories,Latin America and the Caribbean,376.5200000000001,0,1,0,0,0,0,217
Guam,Countries and territories,Oceania,166.525,0,1,1,1,0,0,253
Guatemala,Countries and territories,Latin America and the Caribbean,18124.84199999999,1,1,1,1,1,1,218
Guernsey,Countries and territories,Europe,64.04299999999998,0,1,0,0,0,0,160
Guinea,Countries and territories,Africa,14405.469,1,1,1,1,1,1,57
Guinea-Bissau,Countries and territories,Africa,2153.345000000001,0,1,1,1,0,1,58
Guyana,Countries and territories,Latin America and the Caribbean,826.3599999999999,1,1,1,1,0,1,219
Haiti,Countries and territories,Latin America and the Caribbean,11637.402,1,1,1,1,1,1,220
High-income countries,Aggregates,World Bank Income groups,1261156.392999999,0,1,1,1,0,1,29
Holy See,Countries and territories,Europe,.5010000000000003,0,1,0,0,0,0,161
Honduras,Countries and territories,Latin America and the Caribbean,10644.855,1,1,1,1,0,1,221
Hong Kong,Countries and territories,Asia,7442.739000000003,0,1,0,0,0,1,103
Hungary,Countries and territories,Europe,9686.465,0,1,1,1,0,1,162
Iceland,Countries and territories,Europe,387.5590000000001,0,1,1,1,0,1,163
India,Countries and territories,Asia,1438069.597,1,1,1,1,1,1,104
Indonesia,Countries and territories,Asia,281190.07,1,1,1,1,0,1,105
Iran,Countries and territories,Asia,90608.70900000002,0,1,1,1,0,1,106
Iraq,Countries and territories,Asia,45074.05599999999,0,1,1,1,0,1,107
Ireland,Countries and territories,Europe,5196.632000000001,0,1,1,1,0,1,164
Isle of Man,Countries and territories,Europe,84.182,0,1,0,0,0,0,165
Israel,Countries and territories,Asia,9256.310999999996,0,1,1,1,0,1,108
Italy,Countries and territories,Europe,59499.45199999998,0,1,1,1,0,1,166
Jamaica,Countries and territories,Latin America and the Caribbean,2839.784999999999,0,1,1,1,0,1,222
Japan,Countries and territories,Asia,124370.947,0,1,1,1,0,1,109
Jersey,Countries and territories,Europe,103.68,0,1,0,0,0,0,167
Jordan,Countries and territories,Asia,11439.221,1,1,1,1,1,1,110
Kazakhstan,Countries and territories,Asia,20330.109,1,1,1,1,1,1,111
Kenya,Countries and territories,Africa,55339.008,1,1,1,1,1,1,59
Kiribati,Countries and territories,Oceania,132.541,0,1,1,1,0,1,254
Kosovo,Countries and territories,Europe,1700.039,0,1,0,0,0,0,168
Kuwait,Countries and territories,Asia,4838.782999999998,0,1,1,1,0,1,112
Kyrgyzstan,Countries and territories,Asia,7073.523000000002,1,1,1,1,1,1,113
Lao,Countries and territories,Asia,7665.001999999999,0,1,1,1,0,1,114
Latin America and the Caribbean,Aggregates,UN regions,658892.0000000001,0,1,1,1,0,1,4
Latvia,Countries and territories,Europe,1882.4,0,1,1,1,0,1,169
Lebanon,Countries and territories,Asia,5773.497,0,1,1,1,0,1,115
Lesotho,Countries and territories,Africa,2311.475999999999,1,1,1,1,0,1,60
Liberia,Countries and territories,Africa,5493.035000000003,1,1,1,1,0,1,61
Libya,Countries and territories,Africa,7305.661000000002,0,1,1,1,0,1,62
Liechtenstein,Countries and territories,Europe,39.62199999999999,0,1,0,0,0,0,170
Lithuania,Countries and territories,Europe,2854.105000000001,0,1,1,1,0,1,171
Low-income countries,Aggregates,World Bank Income groups,736466.4810000005,0,1,1,1,0,1,30
Lower-middle-income countries,Aggregates,World Bank Income groups,3253459.325999998,0,1,1,1,0,1,31
Luxembourg,Countries and territories,Europe,665.1009999999998,0,1,1,1,0,1,172
Macao,Countries and territories,Asia,713.9159999999998,0,1,0,0,0,0,116
Madagascar,Countries and territories,Africa,31195.938,1,1,1,1,1,1,63
Malawi,Countries and territories,Africa,21104.48000000001,1,1,1,1,1,1,64
Malaysia,Countries and territories,Asia,35126.29599999999,0,1,1,1,0,1,117
Maldives,Countries and territories,Asia,526.0089999999997,1,1,1,1,0,1,118
Mali,Countries and territories,Africa,23769.13,1,1,1,1,1,1,65
Malta,Countries and territories,Europe,532.965,0,1,1,1,0,1,173
Marshall Islands,Countries and territories,Oceania,38.84900000000002,0,1,1,1,0,1,255
Martinique,Countries and territories,Latin America and the Caribbean,346.008,0,1,0,0,0,0,223
Mauritania,Countries and territories,Africa,5022.442,1,1,1,1,0,1,66
Mauritius,Countries and territories,Africa,1273.593,0,1,1,1,0,1,67
Mayotte,Countries and territories,Africa,316.029,0,1,0,0,0,0,68
Melanesia,Aggregates,UN subregions,12724.108,0,1,1,1,0,1,14
Mexico,Countries and territories,Latin America and the Caribbean,129739.765,0,1,1,1,0,1,224
Micronesia,Aggregates,UN subregions,525.3779999999998,0,1,1,1,0,1,15
Micronesia,Countries and territories,Oceania,112.646,0,1,1,1,0,1,256
Middle Africa,Aggregates,UN subregions,206129.946,0,1,1,1,0,1,16
Moldova,Countries and territories,Europe,3067.072,1,1,1,1,0,1,174
Monaco,Countries and territories,Europe,38.979,0,1,1,1,0,0,175
Mongolia,Countries and territories,Asia,3431.939000000001,0,1,1,1,0,1,119
Montenegro,Countries and territories,Europe,633.5600000000001,0,1,1,1,0,1,176
Montserrat,Countries and territories,Latin America and the Caribbean,4.44,0,1,0,0,0,0,225
Morocco,Countries and territories,Africa,37712.51699999999,1,1,1,1,1,1,69
Mozambique,Countries and territories,Africa,33635.16499999999,1,1,1,1,1,1,70
Myanmar,Countries and territories,Asia,54133.80099999999,1,1,1,1,0,1,120
Namibia,Countries and territories,Africa,2963.102,1,1,1,1,1,1,71
Nauru,Countries and territories,Oceania,11.9,0,1,1,1,0,1,257
Nepal,Countries and territories,Asia,29694.614,1,1,1,1,1,1,121
Netherlands,Countries and territories,Europe,18092.52600000001,0,1,1,1,0,1,177
New Caledonia,Countries and territories,Oceania,289.881,0,1,0,0,0,0,258
New Zealand,Countries and territories,Oceania,5172.839,0,1,1,1,0,1,259
Nicaragua,Countries and territories,Latin America and the Caribbean,6823.618999999997,1,1,1,1,1,1,226
Niger,Countries and territories,Africa,26159.86299999999,1,1,1,1,1,1,72
Nigeria,Countries and territories,Africa,227882.9500000001,1,1,1,1,1,1,73
Niue,Countries and territories,Oceania,1.840999999999999,0,1,1,1,0,1,260
No income group available,Aggregates,World Bank Income groups,29345.12899999998,0,1,1,1,0,1,32
North Korea,Countries and territories,Asia,26418.197,0,1,1,1,0,1,122
North Macedonia,Countries and territories,Europe,1831.800000000001,0,1,1,1,0,1,178
Northern Africa,Aggregates,UN subregions,268541.141,0,1,1,1,0,1,17
Northern America,Aggregates,UN regions,382902.811,0,1,1,1,0,1,5
Northern America,Aggregates,UN subregions,382902.811,0,1,1,1,0,1,18
Northern Europe,Aggregates,UN subregions,108297.483,0,1,1,1,0,1,19
Northern Mariana Islands,Countries and territories,Oceania,45.166,0,1,1,1,0,0,261
