year,sex,value,note,lid
1950,1,28.42842736978746,,1
1950,2,27.99553914384301,,1
1950,3,28.2124692253316,,1
1951,1,27.92790701057979,,1
1951,2,27.4837517823231,,1
1951,3,27.70638837426531,,1
1952,1,27.44757544671905,,1
1952,2,27.02476906091766,,1
1952,3,27.23682206162847,,1
1953,1,27.00741440608578,,1
1953,2,26.55838889243645,,1
1953,3,26.78377019443945,,1
1954,1,26.58858961420652,,1
1954,2,26.09406302245121,,1
1954,3,26.34245215656761,,1
1955,1,26.16349157434872,,1
1955,2,25.5666987073705,,1
1955,3,25.86665869807647,,1
1956,1,25.72004151383989,,1
1956,2,25.1107360507411,,1
1956,3,25.41722349665265,,1
1957,1,26.35489578563177,,1
1957,2,25.66516547161346,,1
1957,3,26.01243306833167,,1
1958,1,26.04756659821528,,1
1958,2,25.29929578871581,,1
1958,3,25.67625788122507,,1
1959,1,24.57224002810854,,1
1959,2,23.81314218133046,,1
1959,3,24.19566549244023,,1
1960,1,24.29873973879671,,1
1960,2,23.5715597620697,,1
1960,3,23.93770449189259,,1
1961,1,23.74748134139604,,1
1961,2,22.99145415037829,,1
1961,3,23.37167954025055,,1
1962,1,23.337063893619,,1
1962,2,22.71049676428749,,1
1962,3,23.02537423654849,,1
1963,1,22.89612649956252,,1
1963,2,22.30317836624285,,1
1963,3,22.60103220694831,,1
1964,1,22.48163720148388,,1
1964,2,21.86317216708977,,1
1964,3,22.17376593201648,,1
1965,1,22.27375245403662,,1
1965,2,21.58948692343387,,1
1965,3,21.9332094036917,,1
1966,1,22.27126696004034,,1
1966,2,21.59525299037457,,1
1966,3,21.93509931091619,,1
1967,1,21.86931052433738,,1
1967,2,21.12013736311458,,1
1967,3,21.49685600638051,,1
1968,1,21.37862459015383,,1
1968,2,20.67233300696947,,1
1968,3,21.0275656355936,,1
1969,1,21.21312682189613,,1
1969,2,20.48709016806283,,1
1969,3,20.85228246980531,,1
1970,1,20.8365347721654,,1
1970,2,20.16458867655813,,1
1970,3,20.50258879507816,,1
1971,1,20.49942623626477,,1
1971,2,19.84507323260987,,1
1971,3,20.17420516224866,,1
1972,1,21.00185721368075,,1
1972,2,20.17578279180143,,1
1972,3,20.59129367258428,,1
1973,1,20.1418149390713,,1
1973,2,19.4097775780645,,1
1973,3,19.77791901668302,,1
1974,1,19.73281348881905,,1
1974,2,19.0707868694443,,1
1974,3,19.40374852630211,,1
1975,1,19.51742118709077,,1
1975,2,18.83077263171251,,1
1975,3,19.17617926021009,,1
1976,1,18.69606429105286,,1
1976,2,18.17953517572057,,1
1976,3,18.439437101609,,1
1977,1,18.24600609881632,,1
1977,2,17.74682404240957,,1
1977,3,17.99812101694509,,1
1978,1,17.83397000509224,,1
1978,2,17.33558869569962,,1
1978,3,17.58654164303519,,1
1979,1,17.4509981605967,,1
1979,2,16.8946231238305,,1
1979,3,17.17489140090123,,1
1980,1,17.09697615856376,,1
1980,2,16.53246827762544,,1
1980,3,16.81704395052353,,1
1981,1,16.8191023601183,,1
1981,2,16.22186365636524,,1
1981,3,16.52354628792818,,1
1982,1,16.52330911637645,,1
1982,2,15.91704314036813,,1
1982,3,16.22337087109227,,1
1983,1,17.61975931865667,,1
1983,2,17.05109915614134,,1
1983,3,17.33851643987894,,1
1984,1,17.53757285615954,,1
1984,2,17.00950078398178,,1
1984,3,17.27652273352109,,1
1985,1,17.18551900538523,,1
1985,2,16.77530024689155,,1
1985,3,16.98266396600867,,1
1986,1,16.66961376421106,,1
1986,2,16.43418485459069,,1
1986,3,16.55322304971552,,1
1987,1,16.3506657357938,,1
1987,2,16.08402102307249,,1
1987,3,16.21880750843996,,1
1988,1,16.19399849804648,,1
1988,2,16.13328792226454,,1
1988,3,16.1639726280195,,1
1989,1,15.59852202453471,,1
1989,2,15.49934332451553,,1
1989,3,15.54945228949522,,1
1990,1,15.55404311560871,,1
1990,2,15.50247935129034,,1
1990,3,15.52853492395878,,1
1991,1,15.86738896394313,,1
1991,2,15.89477737360556,,1
1991,3,15.88093293344917,,1
1992,1,16.19419828946,,1
1992,2,16.13812206563836,,1
1992,3,16.16643616218794,,1
1993,1,15.80930002756531,,1
1993,2,15.59307459894577,,1
1993,3,15.70226735574087,,1
1994,1,17.17959060023044,,1
1994,2,16.84003523833988,,1
1994,3,17.01149505202903,,1
1995,1,14.95315467554093,,1
1995,2,14.79569500834843,,1
1995,3,14.87524232125059,,1
1996,1,14.84718353496572,,1
1996,2,14.73066694006953,,1
1996,3,14.78953179032139,,1
1997,1,14.6323614470979,,1
1997,2,14.58604272403652,,1
1997,3,14.60943922709268,,1
1998,1,14.84551567618164,,1
1998,2,14.86612203728044,,1
1998,3,14.85569225402505,,1
1999,1,13.86206961869774,,1
1999,2,14.07232002132486,,1
1999,3,13.96605638680704,,1
2000,1,13.4230629916019,,1
2000,2,13.74937736426707,,1
2000,3,13.58446598183349,,1
2001,1,13.11710142340205,,1
2001,2,13.58055239153488,,1
2001,3,13.34631276090248,,1
2002,1,12.82764513943924,,1
2002,2,13.33138551837465,,1
2002,3,13.07671881255656,,1
2003,1,12.50145397417568,,1
2003,2,13.00273287230869,,1
2003,3,12.74925194684373,,1
2004,1,12.22438969827877,,1
2004,2,12.66449083521515,,1
2004,3,12.44189291643893,,1
2005,1,12.06326636795518,,1
2005,2,12.32689969913991,,1
2005,3,12.19354297304187,,1
2006,1,11.77713447905992,,1
2006,2,11.92974258250445,,1
2006,3,11.85254291492288,,1
2007,1,11.41959931383951,,1
2007,2,11.49645808425237,,1
2007,3,11.45757934723046,,1
2008,1,11.11938856156558,,1
2008,2,11.13996693584085,,1
2008,3,11.12956063683579,,1
2009,1,11.27214545464506,,1
2009,2,11.08883480113832,,1
2009,3,11.18153511774966,,1
2010,1,10.65164359239112,,1
2010,2,10.55640413871917,,1
2010,3,10.60456344029015,,1
2011,1,10.74924427999002,,1
2011,2,10.64024123619134,,1
2011,3,10.69536167474205,,1
2012,1,10.16997654120633,,1
2012,2,10.03722678086372,,1
2012,3,10.10435729627013,,1
2013,1,9.90977175745822,,1
2013,2,9.695194908046268,,1
2013,3,9.803714048735257,,1
2014,1,9.903471718112122,,1
2014,2,9.612659934752799,,1
2014,3,9.759746569281248,,1
2015,1,9.788261454299674,,1
2015,2,9.480444034063007,,1
2015,3,9.636100795811231,,1
2016,1,9.626236919133223,,1
2016,2,9.284482941972483,,1
2016,3,9.45725854793411,,1
2017,1,9.54738878155792,,1
2017,2,9.151454000614901,,1
2017,3,9.351592464352908,,1
2018,1,9.061160556829929,,1
2018,2,8.678612428012933,,1
2018,3,8.871995939383925,,1
2019,1,8.919424696996137,,1
2019,2,8.486205228886545,,1
2019,3,8.705231835457795,,1
2020,1,8.691005139254028,,1
2020,2,8.166800647453897,,1
2020,3,8.431899808395427,,1
2021,1,8.572505293544364,,1
2021,2,8.012831014946876,,1
2021,3,8.295922861904392,,1
2022,1,8.677139416105927,,1
2022,2,8.024427271675737,,1
2022,3,8.354635109552365,,1
2023,1,8.147509666929675,,1
2023,2,7.57021996845042,,1
2023,3,7.86232464522707,,1
1950,1,22.17064742060826,,2
1950,2,22.66166302449524,,2
1950,3,22.40783792895451,,2
1951,1,21.18101637762959,,2
1951,2,21.8295466866687,,2
1951,3,21.49452629579041,,2
1952,1,19.94120228703233,,2
1952,2,20.73125753940375,,2
1952,3,20.32324387406936,,2
1953,1,19.04474716741223,,2
1953,2,20.03166537752765,,2
1953,3,19.5224337616241,,2
1954,1,18.08235091553301,,2
1954,2,19.08786425182252,,2
1954,3,18.56944470751887,,2
1955,1,17.71370977515751,,2
1955,2,18.50788214064447,,2
1955,3,18.09872428333403,,2
1956,1,17.18686935201186,,2
1956,2,18.02692427163388,,2
1956,3,17.59440627483555,,2
1957,1,16.77563237651225,,2
1957,2,17.56526545097203,,2
1957,3,17.1588153550134,,2
1958,1,16.48379370762598,,2
1958,2,17.05978572775568,,2
1958,3,16.76337038645714,,2
1959,1,21.50918224861564,,2
1959,2,21.50801635113264,,2
1959,3,21.50863838261419,,2
1960,1,26.40636456696277,,2
1960,2,25.94097762036352,,2
1960,3,26.18025129251,,2
1961,1,21.44012953744856,,2
1961,2,21.06716149803156,,2
1961,3,21.25863518680216,,2
1962,1,15.23382590618083,,2
1962,2,14.88860570725148,,2
1962,3,15.06555775631058,,2
1963,1,14.89514943047176,,2
1963,2,14.40085099418209,,2
1963,3,14.65417936207969,,2
1964,1,14.46544381916226,,2
1964,2,13.85882075014155,,2
1964,3,14.16966926215446,,2
1965,1,15.13992619176918,,2
1965,2,14.29145841187107,,2
1965,3,14.72627063109666,,2
1966,1,14.60457818331473,,2
1966,2,13.80837158975357,,2
1966,3,14.21652686094688,,2
1967,1,13.82917831572938,,2
1967,2,13.05950354963248,,2
1967,3,13.45419323183561,,2
1968,1,12.91101029392006,,2
1968,2,12.21920493726603,,2
1968,3,12.57411257692653,,2
1969,1,12.33762616154732,,2
1969,2,11.70367986258547,,2
1969,3,12.02902430744546,,2
1970,1,12.35092230430879,,2
1970,2,11.87235769361272,,2
1970,3,12.1180134720682,,2
1971,1,12.53278628151466,,2
1971,2,11.74388472702848,,2
1971,3,12.14894588074122,,2
1972,1,11.09351770845612,,2
1972,2,10.63910122344358,,2
1972,3,10.87245133317028,,2
1973,1,10.80865516352647,,2
1973,2,10.26575615841507,,2
1973,3,10.54459133962327,,2
1974,1,10.67181271057338,,2
1974,2,9.936500597057417,,2
1974,3,10.31420530155236,,2
1975,1,11.21364668914582,,2
1975,2,10.17231792787165,,2
1975,3,10.70729521522051,,2
1976,1,11.33395369494883,,2
1976,2,10.27619575035887,,2
1976,3,10.81957419641022,,2
1977,1,10.65537436671748,,2
1977,2,9.328856108394623,,2
1977,3,10.01012361471076,,2
1978,1,10.2952721761641,,2
1978,2,8.921253845081356,,2
1978,3,9.62673763322397,,2
1979,1,9.140214937607528,,2
1979,2,7.799472666734752,,2
1979,3,8.48774294103427,,2
1980,1,8.853584734301091,,2
1980,2,7.463597543471701,,2
1980,3,8.177171987250208,,2
1981,1,8.554857285031471,,2
1981,2,7.124239091640172,,2
1981,3,7.858705239275676,,2
1982,1,8.244362424259521,,2
1982,2,6.809129161379213,,2
1982,3,7.546066726629164,,2
1983,1,7.885218112274384,,2
1983,2,6.491412404043828,,2
1983,3,7.207189471662656,,2
1984,1,7.587406846113254,,2
1984,2,6.260120844993389,,2
1984,3,6.941896707270523,,2
1985,1,7.313493080590594,,2
1985,2,6.062626603195453,,2
1985,3,6.705332379857487,,2
1986,1,6.979888325238104,,2
1986,2,5.807091657440977,,2
1986,3,6.409895068048121,,2
1987,1,6.722487698964108,,2
1987,2,5.618153140652726,,2
1987,3,6.185978530738656,,2
1988,1,6.498015057361695,,2
1988,2,5.48714164337194,,2
1988,3,6.007119796427318,,2
1989,1,6.266071838923803,,2
1989,2,5.309747672998189,,2
1989,3,5.801864153090586,,2
1990,1,6.136724856214193,,2
1990,2,5.263385829317735,,2
1990,3,5.713010484366898,,2
1991,1,6.05102476761421,,2
1991,2,5.273585773398981,,2
1991,3,5.674005554924366,,2
1992,1,5.640309561932066,,2
1992,2,4.882211595984898,,2
1992,3,5.272831463278393,,2
1993,1,5.485847623141415,,2
1993,2,4.740249686187137,,2
1993,3,5.124564171698265,,2
1994,1,5.348536777913693,,2
1994,2,4.633553935439738,,2
1994,3,5.00221627372377,,2
1995,1,5.269838554173178,,2
1995,2,4.574094952783381,,2
1995,3,4.932953632882042,,2
1996,1,5.143982058383734,,2
1996,2,4.459071529811065,,2
1996,3,4.812495751021051,,2
1997,1,5.04996261686641,,2
1997,2,4.367697335924681,,2
1997,3,4.719997958520517,,2
1998,1,4.946171329947791,,2
1998,2,4.27401627975077,,2
1998,3,4.621388019839245,,2
1999,1,4.854690518740434,,2
1999,2,4.190784287764426,,2
1999,3,4.534207310930016,,2
2000,1,4.717604788256557,,2
2000,2,4.042185082671734,,2
2000,3,4.391950604872519,,2
2001,1,4.640094271887385,,2
2001,2,3.95517889371233,,2
2001,3,4.310316254198643,,2
2002,1,4.526177671756559,,2
2002,2,3.823082836464264,,2
2002,3,4.188056507975269,,2
2003,1,4.416557167944091,,2
2003,2,3.729559188902387,,2
2003,3,4.086533252604996,,2
2004,1,4.476208142913496,,2
2004,2,3.811038716884374,,2
2004,3,4.157064095224761,,2
2005,1,4.286728909956961,,2
2005,2,3.607351044119911,,2
2005,3,3.961117865740382,,2
2006,1,4.1108069331528,,2
2006,2,3.404951787003174,,2
2006,3,3.772860265005118,,2
2007,1,3.983471417244422,,2
2007,2,3.287312954806887,,2
2007,3,3.650491942666312,,2
2008,1,4.055181865636137,,2
2008,2,3.403576756175308,,2
2008,3,3.74376056913639,,2
2009,1,3.75988871340005,,2
2009,2,3.084211271142889,,2
2009,3,3.437175812983417,,2
2010,1,3.616006114359194,,2
2010,2,2.981159045641335,,2
2010,3,3.312946000503025,,2
2011,1,3.498746557896504,,2
2011,2,2.869252046465709,,2
2011,3,3.198365149119087,,2
2012,1,3.376871872054599,,2
2012,2,2.769241727505145,,2
2012,3,3.086981533779842,,2
2013,1,3.248047415620015,,2
2013,2,2.666393968029701,,2
2013,3,2.970588759070858,,2
2014,1,3.110839446071267,,2
2014,2,2.540934602368261,,2
2014,3,2.838995332923977,,2
2015,1,3.004664103333443,,2
2015,2,2.449581230490661,,2
2015,3,2.739877752407027,,2
2016,1,2.861444526517709,,2
2016,2,2.309625090283651,,2
2016,3,2.598142643334689,,2
2017,1,2.749762615127382,,2
2017,2,2.183765652627345,,2
2017,3,2.479626209406227,,2
2018,1,2.612683134280425,,2
2018,2,2.085945427831692,,2
2018,3,2.361166338279874,,2
2019,1,2.482078927334097,,2
2019,2,1.97822580497764,,2
2019,3,2.241424862965191,,2
2020,1,2.314762804439652,,2
2020,2,1.815991718101317,,2
2020,3,2.076518792818005,,2
2021,1,2.257902708822757,,2
2021,2,1.784663189096092,,2
2021,3,2.031894258468836,,2
2022,1,2.179059882734258,,2
2022,2,1.728613040081761,,2
2022,3,1.963970949892202,,2
2023,1,2.145252532101516,,2
2023,2,1.710937471386176,,2
2023,3,1.937816532705527,,2
1950,1,6.561858124933928,,3
1950,2,5.160725644561825,,3
1950,3,5.865581252577856,,3
1951,1,6.409963752926462,,3
1951,2,5.049447029371934,,3
1951,3,5.734018194053836,,3
1952,1,5.668867539426081,,3
1952,2,4.396136115009996,,3
1952,3,5.036811001466468,,3
1953,1,5.172519004094545,,3
1953,2,3.823642431344254,,3
1953,3,4.503137775795585,,3
1954,1,4.317226791925477,,3
1954,2,3.129934616676322,,3
1954,3,3.728370003772463,,3
1955,1,4.010402492619747,,3
1955,2,2.78537702702808,,3
1955,3,3.40324550466975,,3
1956,1,3.693060083354016,,3
1956,2,2.519888352778721,,3
1956,3,3.1126793875903,,3
1957,1,3.726459289818518,,3
1957,2,2.553976831638605,,3
1957,3,3.147352699691242,,3
1958,1,3.3742870162633,,3
1958,2,2.266630956977989,,3
1958,3,2.828036130703038,,3
1959,1,3.35549663854906,,3
1959,2,2.262103189563769,,3
1959,3,2.817860614713341,,3
1960,1,3.186339277463035,,3
1960,2,2.070749067408006,,3
1960,3,2.638229850033813,,3
1961,1,3.132896702732424,,3
1961,2,2.002787582222387,,3
1961,3,2.578094518925989,,3
1962,1,3.108473312558369,,3
1962,2,1.986987871187451,,3
1962,3,2.558341203767966,,3
1963,1,3.026542013399469,,3
1963,2,1.92427159961206,,3
1963,3,2.486329965309175,,3
1964,1,2.921934324012887,,3
1964,2,1.816355774374445,,3
1964,3,2.38028262988943,,3
1965,1,2.844755023362899,,3
1965,2,1.779621922955776,,3
1965,3,2.322839473978489,,3
1966,1,2.843323440243406,,3
1966,2,1.757093767570272,,3
1966,3,2.310853272664115,,3
1967,1,2.820488226349838,,3
1967,2,1.728071197080627,,3
1967,3,2.284838192384564,,3
1968,1,2.765400142111796,,3
1968,2,1.692158414546951,,3
1968,3,2.239266125605655,,3
1969,1,2.786094824347995,,3
1969,2,1.687825034942025,,3
1969,3,2.247847277864312,,3
1970,1,2.783171338040513,,3
1970,2,1.686913367115461,,3
1970,3,2.246238246397136,,3
1971,1,2.765179341007951,,3
1971,2,1.674680824206187,,3
1971,3,2.231687239392932,,3
1972,1,2.653939610399614,,3
1972,2,1.61308135391014,,3
1972,3,2.145382624451297,,3
1973,1,2.545505805688575,,3
