year,sex,value,note_,lid
1950,1,33.08155444559291,,1
1950,2,30.54339926493588,,1
1950,3,31.81734088552801,,1
1951,1,32.56704066615468,,1
1951,2,30.03506423734947,,1
1951,3,31.3052641959608,,1
1952,1,32.17513376780489,,1
1952,2,29.62205987702449,,1
1952,3,30.90195053305311,,1
1953,1,31.75192659309178,,1
1953,2,29.20515729942175,,1
1953,3,30.48087147694844,,1
1954,1,32.05013916206379,,1
1954,2,28.82869385784026,,1
1954,3,30.44157030764005,,1
1955,1,31.64065491750223,,1
1955,2,28.3962256380077,,1
1955,3,30.02004132254266,,1
1956,1,31.32384815749856,,1
1956,2,28.06297349993514,,1
1956,3,29.69477522668329,,1
1957,1,31.55660789865266,,1
1957,2,28.27568955583748,,1
1957,3,29.91773621920624,,1
1958,1,31.37487340220335,,1
1958,2,28.05241365052835,,1
1958,3,29.71562681655537,,1
1959,1,30.41602947019761,,1
1959,2,27.12467602015489,,1
1959,3,28.77292303465251,,1
1960,1,30.91846184123437,,1
1960,2,26.93183154194012,,1
1960,3,28.92996976644902,,1
1961,1,30.71832948966302,,1
1961,2,26.3815335693518,,1
1961,3,28.55730072494511,,1
1962,1,29.56883239612351,,1
1962,2,26.02806210190922,,1
1962,3,27.80468888577003,,1
1963,1,28.61625446655225,,1
1963,2,25.4819099494018,,1
1963,3,27.05522883650535,,1
1964,1,28.17320375615284,,1
1964,2,24.9827972213319,,1
1964,3,26.584809868611,,1
1965,1,27.99629043885144,,1
1965,2,24.6247376630121,,1
1965,3,26.3183581818236,,1
1966,1,27.87966982392354,,1
1966,2,24.46274871415788,,1
1966,3,26.17953042465837,,1
1967,1,28.29270963839736,,1
1967,2,24.06690133499867,,1
1967,3,26.1895514732946,,1
1968,1,27.52240223020819,,1
1968,2,23.59508233350427,,1
1968,3,25.56631514364016,,1
1969,1,27.44149061090839,,1
1969,2,23.38574603114352,,1
1969,3,25.41883272056577,,1
1970,1,26.50203365588521,,1
1970,2,23.00284822043231,,1
1970,3,24.75579325653054,,1
1971,1,25.90024097613797,,1
1971,2,22.64621337263417,,1
1971,3,24.27713895406192,,1
1972,1,26.39798803312243,,1
1972,2,22.94943405198491,,1
1972,3,24.6788968681908,,1
1973,1,25.18075023915966,,1
1973,2,22.10846915493347,,1
1973,3,23.64882003183377,,1
1974,1,24.43675051497351,,1
1974,2,21.56773546712532,,1
1974,3,23.00615010068407,,1
1975,1,24.08803627743283,,1
1975,2,21.31833773168101,,1
1975,3,22.70623319768095,,1
1976,1,23.52120087322884,,1
1976,2,20.80008821849488,,1
1976,3,22.16249218988653,,1
1977,1,23.05124444893414,,1
1977,2,20.33952379495274,,1
1977,3,21.69639307159754,,1
1978,1,22.87198476818419,,1
1978,2,19.87548534481676,,1
1978,3,21.37377128920714,,1
1979,1,22.2476295187376,,1
1979,2,19.41495893218914,,1
1979,3,20.82970396939931,,1
1980,1,21.74449328797523,,1
1980,2,18.96740702760369,,1
1980,3,20.35436200342111,,1
1981,1,21.2623050970796,,1
1981,2,18.55090027218009,,1
1981,3,19.90877797102319,,1
1982,1,21.0539397501609,,1
1982,2,18.20923240739347,,1
1982,3,19.63529256529051,,1
1983,1,21.69662432789588,,1
1983,2,18.75419397079392,,1
1983,3,20.23092585261788,,1
1984,1,21.99839641692003,,1
1984,2,18.68503321092052,,1
1984,3,20.35137155607858,,1
1985,1,21.53051550881568,,1
1985,2,18.49235773135705,,1
1985,3,20.02107161984867,,1
1986,1,21.1251156951644,,1
1986,2,18.29317365284044,,1
1986,3,19.72073896431759,,1
1987,1,21.1718998456416,,1
1987,2,18.35362736416279,,1
1987,3,19.77576268679771,,1
1988,1,20.32765939416104,,1
1988,2,18.03490287648435,,1
1988,3,19.19224892894689,,1
1989,1,20.14601088630929,,1
1989,2,17.86311868142343,,1
1989,3,19.01540525419265,,1
1990,1,20.43320351605271,,1
1990,2,17.96563848224397,,1
1990,3,19.21120297037648,,1
1991,1,20.13438648716959,,1
1991,2,18.22895404300784,,1
1991,3,19.19063289539091,,1
1992,1,20.48015525571367,,1
1992,2,18.63319652094031,,1
1992,3,19.56461588031211,,1
1993,1,20.4929181313358,,1
1993,2,18.434170179781,,1
1993,3,19.4700277357287,,1
1994,1,27.24109054567192,,1
1994,2,22.0448048456584,,1
1994,3,24.66570192157491,,1
1995,1,19.47860351969055,,1
1995,2,17.85696208760346,,1
1995,3,18.67188262144803,,1
1996,1,19.52273434142826,,1
1996,2,17.90376644479363,,1
1996,3,18.71741046020703,,1
1997,1,19.37593997323683,,1
1997,2,17.7986081863003,,1
1997,3,18.59079543510367,,1
1998,1,20.06880082469886,,1
1998,2,18.13956561020302,,1
1998,3,19.11042020866805,,1
1999,1,19.20069435311045,,1
1999,2,17.31617469263858,,1
1999,3,18.26575155603683,,1
2000,1,17.94390130638612,,1
2000,2,16.94354124759401,,1
2000,3,17.44768090075555,,1
2001,1,17.58985394389157,,1
2001,2,16.786830162133,,1
2001,3,17.19148820979433,,1
2002,1,17.28369422847486,,1
2002,2,16.48355739338725,,1
2002,3,16.88663474214358,,1
2003,1,16.83797539467946,,1
2003,2,16.10564333251541,,1
2003,3,16.4744499432834,,1
2004,1,16.51239169479379,,1
2004,2,15.65283008262319,,1
2004,3,16.08570222877892,,1
2005,1,16.26420663509453,,1
2005,2,15.23544230145912,,1
2005,3,15.75373285154447,,1
2006,1,15.79249547337236,,1
2006,2,14.78263162637694,,1
2006,3,15.29157840825635,,1
2007,1,15.41500843059962,,1
2007,2,14.27199678775837,,1
2007,3,14.8483220119936,,1
2008,1,15.15289652261154,,1
2008,2,13.86520315701356,,1
2008,3,14.51470369853125,,1
2009,1,16.14047933787266,,1
2009,2,13.74561753282666,,1
2009,3,14.95443699090193,,1
2010,1,14.65348917901332,,1
2010,2,13.16278732773835,,1
2010,3,13.91516300520978,,1
2011,1,14.5849263697746,,1
2011,2,13.01935284858036,,1
2011,3,13.80974513669731,,1
2012,1,14.17280659193199,,1
2012,2,12.52778850264458,,1
2012,3,13.35854230536038,,1
2013,1,14.06481340242627,,1
2013,2,12.19182307049449,,1
2013,3,13.13782569999977,,1
2014,1,14.22760073334373,,1
2014,2,12.02970212018728,,1
2014,3,13.14006836414305,,1
2015,1,13.97640448399906,,1
2015,2,11.81872444875243,,1
2015,3,12.90901577306047,,1
2016,1,13.79672920040154,,1
2016,2,11.58754268255591,,1
2016,3,12.70417374858568,,1
2017,1,13.73194714421577,,1
2017,2,11.39854229963078,,1
2017,3,12.57783132008228,,1
2018,1,13.18799287808092,,1
2018,2,11.01792079856423,,1
2018,3,12.11460270799047,,1
2019,1,13.33434327666949,,1
2019,2,10.83934744467463,,1
2019,3,12.10010712954213,,1
2020,1,12.8522128653159,,1
2020,2,10.47571817382775,,1
2020,3,11.67637924785025,,1
2021,1,12.88411121296551,,1
2021,2,10.30661470814243,,1
2021,3,11.60877231447677,,1
2022,1,13.44961507533893,,1
2022,2,10.23430055111485,,1
2022,3,11.85876375762618,,1
2023,1,12.30017640399483,,1
2023,2,9.811856839005095,,1
2023,3,11.06900348297313,,1
1950,1,29.34458332413847,,2
1950,2,26.20770144120799,,2
1950,3,27.82507794901679,,2
1951,1,27.42460877432718,,2
1951,2,25.25629010676711,,2
1951,3,26.37282150658848,,2
1952,1,24.35989260879301,,2
1952,2,24.1247415436594,,2
1952,3,24.24549362733308,,2
1953,1,23.22470406246535,,2
1953,2,23.46372364421834,,2
1953,3,23.33978630077516,,2
1954,1,21.72711016724105,,2
1954,2,22.53572228756562,,2
1954,3,22.11787755855765,,2
1955,1,21.24556260910238,,2
1955,2,21.88926837505045,,2
1955,3,21.55634775640092,,2
1956,1,20.73676287326876,,2
1956,2,21.36083322323257,,2
1956,3,21.03814184110975,,2
1957,1,20.28782575248012,,2
1957,2,20.86927517622306,,2
1957,3,20.56887697193444,,2
1958,1,19.93215731363474,,2
1958,2,20.32458385091685,,2
1958,3,20.12213484709435,,2
1959,1,22.63545383647481,,2
1959,2,22.39488601374706,,2
1959,3,22.51928055530328,,2
1960,1,25.09815876484112,,2
1960,2,24.55653371450806,,2
1960,3,24.8361558053275,,2
1961,1,21.9374448298274,,2
1961,2,21.76793806487865,,2
1961,3,21.85552983564209,,2
1962,1,17.9989436769824,,2
1962,2,18.21192937582372,,2
1962,3,18.10240131667873,,2
1963,1,17.55761473049844,,2
1963,2,17.61850765788564,,2
1963,3,17.58723758869763,,2
1964,1,17.10914531646834,,2
1964,2,16.97385905854087,,2
