year,sex,value,ageg,lid,decline
2009,3,14.00870513916016,hgap,92,3.9072008
2009,2,12.01503467559814,hgap,92,
2009,1,15.9222354888916,hgap,92,0
2013,3,30.18720626831055,nnm,92,0
2013,3,24.90690337701684,q5_19,92,0
2013,2,25.90527153015137,nnm,92,-4.1470947
2013,1,26.39904477604848,q5_19,92,
2013,1,50.81079483032227,pnm,92,
2013,2,51.4359245300293,pnm,92,0
2013,3,51.13828277587891,pnm,92,.6251297
2013,2,23.34081277505206,q5_19,92,-1.4921414
2013,1,34.33430099487305,nnm,92,
2019,3,13.40720653533936,hgap,92,3.2721586
2019,2,11.43839263916016,hgap,92,1.9936705
2019,1,15.28719329833984,hgap,92,-.57664204
2023,3,33.45204162597656,pnm,92,-16.343407
2023,1,34.46738815307617,pnm,92,.32748795
2023,3,17.260270204013,q5_19,92,-10.675125
2023,3,23.49597358703613,nnm,92,-13.59911
2023,2,15.72391957926933,q5_19,92,-3.0582321
2023,2,20.73519134521484,nnm,92,-8.2360973
2023,1,26.09820365905762,nnm,92,-8.4290295
2023,2,32.44146347045898,pnm,92,-17.358753
2023,1,18.7225879666747,q5_19,92,-9.1387749
2009,2,9.185687065124512,hgap,1,
2009,3,11.80763912200928,hgap,1,5.2048998
2009,1,14.39058685302734,hgap,1,0
2013,2,38.35557831572467,q5_19,1,
2013,1,33.85697937011719,nnm,1,
2013,1,58.04658508300781,pnm,1,
2013,2,53.97224807739258,pnm,1,0
2013,3,29.99282646179199,nnm,1,-7.8903618
2013,3,39.0260423150357,q5_19,1,0
2013,1,39.68372974064882,q5_19,1,.67046398
2013,3,55.98503875732422,pnm,1,-4.074337
2013,2,25.96661758422852,nnm,1,0
2019,3,11.22311115264893,hgap,1,4.2421856
2019,2,8.976327896118164,hgap,1,2.6219521
2019,1,13.42787265777588,hgap,1,-.20935917
2023,3,24.13193130493164,nnm,1,-13.023737
2023,2,38.51749801635742,pnm,1,-16.051174
2023,1,27.28360366821289,nnm,1,-9.7250481
2023,2,30.10084646477262,q5_19,1,1.3281515
2023,3,40.24339294433594,pnm,1,-19.529087
2023,2,20.83324241638184,nnm,1,-3.8641529
2023,1,41.99541091918945,pnm,1,-2.0615463
2023,1,32.95491658513016,q5_19,1,-8.2547321
2023,3,31.54335031753053,q5_19,1,-5.4006619
2009,3,8.392200469970703,hgap,143,0
2009,1,10.56292343139648,hgap,143,
2009,2,6.128213882446289,hgap,143,-2.170723
2012,3,170.2583500000001,math,143,0
2012,2,169.9144200000001,math,143,
2012,1,170.58007,math,143,.34393001
2013,2,5.339139938354492,pnm,143,0
2013,1,6.187522418589775,q5_19,143,0
2013,2,4.960228752995732,q5_19,143,.61437643
2013,3,5.156410694122314,nnm,143,
2013,1,5.701475143432617,nnm,143,-.59598541
2013,3,5.573145987979089,q5_19,143,
2013,3,5.851192951202393,pnm,143,
2013,2,4.560425281524658,nnm,143,0
2013,1,6.316629409790039,pnm,143,-.51205301
2019,2,5.322951793670654,hgap,143,-.85136604
2019,1,9.711557388305664,hgap,143,-4.4347095
2019,3,7.567038059234619,hgap,143,-5.2399716
