year,sex,value,note,lid
1950,1,412.1055865146496,,1
1950,2,385.2989259100459,,1
1950,3,398.8390798642241,,1
1951,1,404.8424154166661,,1
1951,2,378.353079985795,,1
1951,3,391.7092287242969,,1
1952,1,398.07078623879,,1
1952,2,371.9616938752589,,1
1952,3,385.1189346323777,,1
1953,1,391.542945005757,,1
1953,2,365.750338816652,,1
1953,3,378.7434080279464,,1
1954,1,385.7225063869537,,1
1954,2,359.7431794358372,,1
1954,3,372.8298232800901,,1
1955,1,379.8013216381585,,1
1955,2,353.5936470760156,,1
1955,3,366.7964770714053,,1
1956,1,373.8815225220833,,1
1956,2,347.8100308260636,,1
1956,3,360.943325678319,,1
1957,1,374.8700113763599,,1
1957,2,349.4131578161786,,1
1957,3,362.2285873552877,,1
1958,1,369.5479151646269,,1
1958,2,344.109868619413,,1
1958,3,356.9180079643987,,1
1959,1,357.4986761957424,,1
1959,2,331.7032874633194,,1
1959,3,344.7015560721267,,1
1960,1,353.252175166324,,1
1960,2,327.2829563058697,,1
1960,3,340.372953713267,,1
1961,1,347.8928787089203,,1
1961,2,322.0369377262841,,1
1961,3,335.0732107864578,,1
1962,1,342.5074685463135,,1
1962,2,317.9428594585451,,1
1962,3,330.3245572146669,,1
1963,1,337.2966733121682,,1
1963,2,313.2490751467543,,1
1963,3,325.3715744904282,,1
1964,1,332.3893325100505,,1
1964,2,308.5542452586681,,1
1964,3,320.5732144845624,,1
1965,1,328.811090575583,,1
1965,2,304.8488048352799,,1
1965,3,316.9382109484904,,1
1966,1,326.871697616653,,1
1966,2,303.7390445540661,,1
1966,3,315.4061867015951,,1
1967,1,321.5115297671472,,1
1967,2,298.2357580154624,,1
1967,3,309.975273089959,,1
1968,1,315.814036650412,,1
1968,2,293.1912395721757,,1
1968,3,304.597984827108,,1
1969,1,312.1878304501763,,1
1969,2,289.8465337779303,,1
1969,3,301.1098202146949,,1
1970,1,307.3021171738233,,1
1970,2,285.782528825884,,1
1970,3,296.6290096376656,,1
1971,1,302.7715347143235,,1
1971,2,281.4413106740142,,1
1971,3,292.1950689154157,,1
1972,1,301.4224923322121,,1
1972,2,279.5961986792886,,1
1972,3,290.6054548763789,,1
1973,1,294.8303699297679,,1
1973,2,273.1354594150562,,1
1973,3,284.0808075605395,,1
1974,1,291.766695020737,,1
1974,2,270.3312874487934,,1
1974,3,281.1445898904559,,1
1975,1,287.1869043721376,,1
1975,2,265.5063694145942,,1
1975,3,276.4466624612131,,1
1976,1,276.8570774431187,,1
1976,2,257.6190120725853,,1
1976,3,267.3122877950779,,1
1977,1,271.1800234032288,,1
1977,2,252.0769969272538,,1
1977,3,261.7032299864737,,1
1978,1,266.2446910764429,,1
1978,2,247.0235043065664,,1
1978,3,256.7068976713463,,1
1979,1,260.5072377182539,,1
1979,2,241.1905062196912,,1
1979,3,250.9231058379835,,1
1980,1,255.5928920042914,,1
1980,2,236.3029474283512,,1
1980,3,246.0221317258395,,1
1981,1,251.0786609631141,,1
1981,2,231.7979762891233,,1
1981,3,241.5192532169403,,1
1982,1,246.3846636530653,,1
1982,2,226.9592883027422,,1
1982,3,236.7587541928069,,1
1983,1,253.3835274808771,,1
1983,2,234.6657985953985,,1
1983,3,244.1012363977639,,1
1984,1,249.9905681885163,,1
1984,2,231.1912719600864,,1
1984,3,240.6682723332686,,1
1985,1,245.2797757202661,,1
1985,2,226.8631300187133,,1
1985,3,236.1481197325617,,1
1986,1,239.3342343458468,,1
1986,2,221.4603282631542,,1
1986,3,230.4739652325506,,1
1987,1,230.8356423769399,,1
1987,2,212.675027258811,,1
1987,3,221.8423998724327,,1
1988,1,233.2420755025826,,1
1988,2,216.2567319271999,,1
1988,3,224.820806950625,,1
1989,1,224.6522448461171,,1
1989,2,207.2077464175253,,1
1989,3,216.0114500255017,,1
1990,1,223.3487106130567,,1
1990,2,206.0172833258837,,1
1990,3,214.7645285599799,,1
1991,1,225.1837207537135,,1
1991,2,208.5001096235738,,1
1991,3,216.9170094220127,,1
1992,1,224.4652599206563,,1
1992,2,207.8928191379133,,1
1992,3,216.2557216607867,,1
1993,1,218.7974080979039,,1
1993,2,201.4486263375904,,1
1993,3,210.2111409474378,,1
1994,1,225.2059697107184,,1
1994,2,205.7801017290272,,1
1994,3,215.6066062027678,,1
1995,1,212.2437695530801,,1
1995,2,195.4026352190725,,1
1995,3,203.9176150983405,,1
1996,1,210.0783441498025,,1
1996,2,193.5009840688332,,1
1996,3,201.8850619486854,,1
1997,1,206.6656494212797,,1
1997,2,190.4164282857787,,1
1997,3,198.6337536269172,,1
1998,1,205.9328371889831,,1
1998,2,189.8498449340053,,1
1998,3,197.98095268839,,1
1999,1,197.6231122865855,,1
1999,2,182.1717502588113,,1
1999,3,189.9799461384313,,1
2000,1,191.4011995538154,,1
2000,2,177.17134299967,,1
2000,3,184.3600527787445,,1
2001,1,185.9857278773536,,1
2001,2,172.4286516158625,,1
2001,3,179.2798330956082,,1
2002,1,180.6522475658419,,1
2002,2,167.5165655495597,,1
2002,3,174.1538727597089,,1
2003,1,174.8588188454873,,1
2003,2,161.9179249271616,,1
2003,3,168.4580519606642,,1
2004,1,169.341583486782,,1
2004,2,156.5215090546777,,1
2004,3,162.9955275442556,,1
2005,1,163.9958882173103,,1
2005,2,150.9251860922457,,1
2005,3,157.5227778955523,,1
2006,1,157.9710025625569,,1
2006,2,144.9020829542833,,1
2006,3,151.4990052352612,,1
2007,1,152.2513449756246,,1
2007,2,139.2114963887807,,1
2007,3,145.7971311433355,,1
2008,1,147.1662871500043,,1
2008,2,134.2597101008016,,1
2008,3,140.78128071598,,1
2009,1,145.9346083948218,,1
2009,2,132.2307883763413,,1
2009,3,139.1602321550989,,1
2010,1,138.2212276248283,,1
2010,2,125.6448749549008,,1
2010,3,132.0018459684837,,1
2011,1,137.5764581259793,,1
2011,2,125.4577271410442,,1
2011,3,131.5813909418482,,1
2012,1,130.0069894305851,,1
2012,2,117.9102559276988,,1
2012,3,124.025041664875,,1
2013,1,126.0529265366157,,1
2013,2,113.8806209728744,,1
2013,3,120.0349116739899,,1
2014,1,124.7651772043263,,1
2014,2,112.498268127639,,1
2014,3,118.7022973203919,,1
2015,1,122.0579335630451,,1
2015,2,110.1343243891669,,1
2015,3,116.1656395805372,,1
2016,1,119.3344625234417,,1
2016,2,107.576429651855,,1
2016,3,113.5261704661109,,1
2017,1,117.3426487994501,,1
2017,2,105.654318837805,,1
2017,3,111.5703511121079,,1
2018,1,112.041361459242,,1
2018,2,100.5293718125029,,1
2018,3,106.3580624277427,,1
2019,1,109.9106242189445,,1
2019,2,98.24364645501061,,1
2019,3,104.152431660351,,1
2020,1,106.2247294127769,,1
2020,2,94.40692249581318,,1
2020,3,100.3945998025867,,1
2021,1,104.5513445266841,,1
2021,2,92.44764658248872,,1
2021,3,98.58118674117944,,1
2022,1,105.1547268612706,,1
2022,2,92.51865922848734,,1
2022,3,98.92090822762822,,1
2023,1,98.8428212589385,,1
2023,2,86.88679106197594,,1
2023,3,92.94754507178583,,1
1950,1,317.051763274644,,2
1950,2,311.0701581986104,,2
1950,3,314.0037473656682,,2
1951,1,306.6657123544534,,2
1951,2,301.8385809007173,,2
1951,3,304.173146987973,,2
1952,1,293.4036610625766,,2
1952,2,290.1685564209646,,2
1952,3,291.6932056413839,,2
1953,1,286.8249870724967,,2
1953,2,284.9298403419535,,2
1953,3,285.7678280545937,,2
1954,1,276.714934285289,,2
1954,2,274.614671879837,,2
1954,3,275.5659615855391,,2
1955,1,269.496158823233,,2
1955,2,267.1527123398988,,2
1955,3,268.2360188092485,,2
1956,1,263.4703368445439,,2
1956,2,261.4505028795359,,2
1956,3,262.3699714287413,,2
1957,1,257.4519746143608,,2
1957,2,255.590709987893,,2
1957,3,256.4357307109011,,2
1958,1,252.3039724622818,,2
1958,2,250.201733582307,,2
1958,3,251.1706770046849,,2
1959,1,293.0097888198719,,2
1959,2,291.1817663784624,,2
1959,3,291.9884436325402,,2
1960,1,327.516491257677,,2
1960,2,326.2914783691536,,2
1960,3,326.7740285317223,,2
1961,1,285.6152368946497,,2
1961,2,283.9917107925664,,2
1961,3,284.6961108048523,,2
1962,1,233.6697233970627,,2
1962,2,231.4194168735371,,2
1962,3,232.4795589340589,,2
1963,1,226.0450755999294,,2
1963,2,223.5071651875467,,2
1963,3,224.7211736389168,,2
1964,1,219.7657789244559,,2
1964,2,216.4493140079661,,2
1964,3,218.0618996644453,,2
1965,1,223.4521913485761,,2
1965,2,219.0150341001993,,2
1965,3,221.2053404707956,,2
1966,1,216.3551319058791,,2
1966,2,212.3043718422531,,2
1966,3,214.2983274848056,,2
1967,1,210.5671979608379,,2
1967,2,206.4985899345741,,2
1967,3,208.5028381506418,,2
1968,1,201.2430092580884,,2
1968,2,197.1377406528701,,2
1968,3,199.1680761493749,,2
1969,1,195.7016553646345,,2
1969,2,191.6933906306238,,2
1969,3,193.6751947835192,,2
1970,1,193.6516474439695,,2
1970,2,189.887000536265,,2
1970,3,191.7367593814335,,2
1971,1,196.631649570541,,2
1971,2,190.4820862962954,,2
1971,3,193.532362772121,,2
1972,1,182.8796851368393,,2
1972,2,178.8545090617297,,2
1972,3,180.8105276010735,,2
1973,1,178.241802542417,,2
1973,2,174.3185054406251,,2
1973,3,176.2230348130357,,2
1974,1,174.6911966274988,,2
1974,2,170.7345452718519,,2
1974,3,172.664548282602,,2
