year,sex,value,note_,lid
1950,1,339.0827026367188,,1
1950,2,314.1484375,,1
1950,3,326.7054443359375,,1
1951,1,332.3482055664063,,1
1951,2,307.8556823730469,,1
1951,3,320.1634826660156,,1
1952,1,326.1187744140625,,1
1952,2,302.085693359375,,1
1952,3,314.154541015625,,1
1953,1,320.1673583984375,,1
1953,2,296.5634765625,,1
1953,3,308.4114685058594,,1
1954,1,314.57568359375,,1
1954,2,291.2615966796875,,1
1954,3,302.9612121582031,,1
1955,1,309.3011779785156,,1
1955,2,285.9150695800781,,1
1955,3,297.6530456542969,,1
1956,1,303.9979553222656,,1
1956,2,280.7369384765625,,1
1956,3,292.4150390625,,1
1957,1,304.0053405761719,,1
1957,2,281.4047546386719,,1
1957,3,292.74365234375,,1
1958,1,299.0010986328125,,1
1958,2,276.5479431152344,,1
1958,3,287.8158569335938,,1
1959,1,289.0423889160156,,1
1959,2,266.3868408203125,,1
1959,3,277.7679443359375,,1
1960,1,284.5844116210938,,1
1960,2,262.1871948242188,,1
1960,3,273.4402160644531,,1
1961,1,279.8835144042969,,1
1961,2,257.9317932128906,,1
1961,3,268.9620361328125,,1
1962,1,275.5764465332031,,1
1962,2,254.2225646972656,,1
1962,3,264.9534606933594,,1
1963,1,271.3706359863281,,1
1963,2,250.291259765625,,1
1963,3,260.886962890625,,1
1964,1,267.1131896972656,,1
1964,2,246.3914489746094,,1
1964,3,256.8099975585938,,1
1965,1,263.7661743164063,,1
1965,2,243.1585998535156,,1
1965,3,253.5242919921875,,1
1966,1,261.7601623535156,,1
1966,2,242.0286254882813,,1
1966,3,251.9493408203125,,1
1967,1,256.4958801269531,,1
1967,2,237.2987518310547,,1
1967,3,246.9478759765625,,1
1968,1,251.8743133544922,,1
1968,2,233.2096405029297,,1
1968,3,242.5898132324219,,1
1969,1,248.4087066650391,,1
1969,2,230.1758880615234,,1
1969,3,239.3387908935547,,1
1970,1,244.6066589355469,,1
1970,2,226.7593841552734,,1
1970,3,235.7289886474609,,1
1971,1,240.9109344482422,,1
1971,2,223.0984802246094,,1
1971,3,232.0537719726563,,1
1972,1,238.5202941894531,,1
1972,2,220.5155334472656,,1
1972,3,229.5706634521484,,1
1973,1,233.9466552734375,,1
1973,2,215.7459869384766,,1
1973,3,224.9045562744141,,1
1974,1,231.9197387695313,,1
1974,2,213.6957244873047,,1
1974,3,222.8665008544922,,1
1975,1,227.8687133789063,,1
1975,2,209.3486785888672,,1
1975,3,218.672607421875,,1
1976,1,219.0956726074219,,1
1976,2,202.7463989257813,,1
1976,3,210.9658660888672,,1
1977,1,214.4149475097656,,1
1977,2,198.142822265625,,1
1977,3,206.3252563476563,,1
1978,1,210.1521759033203,,1
1978,2,193.919921875,,1
1978,3,202.0807952880859,,1
1979,1,205.3821258544922,,1
1979,2,189.0652313232422,,1
1979,3,197.2704925537109,,1
1980,1,201.3594818115234,,1
1980,2,185.1005249023438,,1
1980,3,193.2763671875,,1
1981,1,197.552734375,,1
1981,2,181.3681945800781,,1
1981,3,189.5095825195313,,1
1982,1,193.4084014892578,,1
1982,2,177.1956024169922,,1
1982,3,185.3558044433594,,1
1983,1,198.1452789306641,,1
1983,2,182.4671783447266,,1
1983,3,190.3506927490234,,1
1984,1,194.6302642822266,,1
1984,2,178.9841766357422,,1
1984,3,186.8497772216797,,1
1985,1,190.7926025390625,,1
1985,2,175.0919036865234,,1
1985,3,182.9882507324219,,1
1986,1,185.9676361083984,,1
1986,2,170.2695159912109,,1
1986,3,178.1685333251953,,1
1987,1,178.0928192138672,,1
1987,2,162.0536804199219,,1
1987,3,170.1333465576172,,1
1988,1,181.2598724365234,,1
1988,2,165.6043395996094,,1
1988,3,173.4842834472656,,1
1989,1,173.9086456298828,,1
1989,2,157.8331451416016,,1
1989,3,165.9331665039063,,1
1990,1,172.4834442138672,,1
1990,2,156.50146484375,,1
1990,3,164.5553131103516,,1
1991,1,173.9881591796875,,1
1991,2,158.0423583984375,,1
1991,3,166.0777893066406,,1
1992,1,172.4805755615234,,1
1992,2,156.6804351806641,,1
1992,3,164.6450347900391,,1
1993,1,167.4479827880859,,1
1993,2,151.3538970947266,,1
1993,3,159.4743957519531,,1
1994,1,166.797119140625,,1
1994,2,151.0592041015625,,1
1994,3,159.0025329589844,,1
1995,1,162.6347045898438,,1
1995,2,146.6279754638672,,1
1995,3,154.7164001464844,,1
1996,1,160.4304656982422,,1
1996,2,144.5013275146484,,1
1996,3,152.5541381835938,,1
1997,1,157.3822631835938,,1
1997,2,141.5345306396484,,1
1997,3,149.5470733642578,,1
1998,1,155.6124420166016,,1
1998,2,139.8907775878906,,1
1998,3,147.8370056152344,,1
1999,1,149.669677734375,,1
1999,2,134.1003265380859,,1
1999,3,141.9674835205078,,1
2000,1,145.1649475097656,,1
2000,2,129.8500366210938,,1
2000,3,137.5897979736328,,1
2001,1,140.5074005126953,,1
2001,2,125.3352432250977,,1
2001,3,133.0077819824219,,1
2002,1,135.9180755615234,,1
2002,2,120.9817581176758,,1
2002,3,128.5351715087891,,1
2003,1,131.0834197998047,,1
2003,2,116.277717590332,,1
2003,3,123.7667541503906,,1
2004,1,126.3454437255859,,1
2004,2,111.8619537353516,,1
2004,3,119.1821975708008,,1
2005,1,121.4199447631836,,1
2005,2,107.2987670898438,,1
2005,3,114.4301376342773,,1
2006,1,116.3967132568359,,1
2006,2,102.5200042724609,,1
2006,3,109.5268707275391,,1
2007,1,111.7165222167969,,1
2007,2,98.22472381591797,,1
2007,3,105.0392303466797,,1
2008,1,107.479621887207,,1
2008,2,94.35060882568359,,1
2008,3,100.9843902587891,,1
2009,1,105.163459777832,,1
2009,2,92.42520904541016,,1
2009,3,98.8626708984375,,1
2010,1,99.97311401367188,,1
2010,2,87.62397766113281,,1
2010,3,93.86447906494141,,1
2011,1,99.20475769042969,,1
2011,2,87.35211944580078,,1
2011,3,93.33949279785156,,1
2012,1,93.21543884277344,,1
2012,2,81.51158142089844,,1
2012,3,87.42571258544922,,1
2013,1,89.93828582763672,,1
2013,2,78.53739166259766,,1
2013,3,84.29871368408203,,1
2014,1,88.55379486083984,,1
2014,2,77.45294189453125,,1
2014,3,83.06346893310547,,1
2015,1,86.28830718994141,,1
2015,2,75.51224517822266,,1
2015,3,80.95960235595703,,1
2016,1,84.06882476806641,,1
2016,2,73.54449462890625,,1
2016,3,78.86656188964844,,1
2017,1,82.29462432861328,,1
2017,2,72.04888153076172,,1
