surveyyear,wi,NMR,CH,PNM,lid
2015,Richer,23.819996,22.98222,18.928127,35
2011,Richer,23.978495,38.289276,30.895163,35
2023,Poorest,16.677399,24.682701,15.997269,35
2015,Richest,11.544586,14.241937,13.038076,35
2023,Poorer,22.022223,29.766796,17.934889,35
2011,Middle,29.403564,44.855946,26.762661,35
2023,Richer,9.647172,12.845057,13.130672,35
2023,Richest,13.805674,5.4344926,7.7431507,35
2011,Richest,25.736935,19.936123,19.375599,35
2011,Poorest,25.421268,52.839745,27.603615,35
2023,Middle,14.538529,23.074003,14.29824,35
2015,Poorest,31.094551,39.713051,31.342125,35
2011,Poorer,29.627941,60.273952,39.623562,35
2015,Middle,21.36474,26.062565,25.527819,35
2015,Poorer,29.497725,39.368114,34.270546,35
2017,Richer,39.295105,38.241879,25.382225,36
2012,Richest,20.427832,13.722301,9.7814655,36
2012,Poorest,25.890642,35.197838,26.716108,36
2017,Poorer,38.511353,54.236443,31.576431,36
2012,Poorer,24.523523,39.423634,26.143171,36
2006,Middle,40.521481,69.285919,39.621479,36
1996,Richer,53.149258,74.612473,50.610821,36
2012,Richer,26.229177,21.149031,17.70088,36
2001,Richest,31.267578,43.08387,18.727917,36
2001,Richer,32.154636,54.053257,45.957775,36
2006,Poorest,34.272335,71.348534,45.771503,36
2001,Poorer,45.462528,67.828903,62.710323,36
2017,Poorest,29.931133,44.592918,33.274189,36
2006,Richest,32.841557,30.727339,19.283287,36
1996,Poorer,44.726833,90.422905,66.399139,36
1996,Richest,33.351891,46.741894,29.96909,36
2006,Richer,39.654152,50.936066,38.387848,36
2006,Poorer,39.514915,63.560699,43.409775,36
1996,Middle,44.527065,90.823814,61.269344,36
2017,Richest,24.153769,20.75667,15.149218,36
2001,Middle,48.49184,74.772438,57.712521,36
2017,Middle,29.681372,49.995655,26.540857,36
1996,Poorest,44.31847,88.821732,75.057877,36
2012,Middle,25.406206,32.615181,21.492567,36
2001,Poorest,44.684521,86.585632,66.812531,36
2010,Poorer,42.29792,81.086418,49.422798,38
2003,Poorest,40.24086,109.07105,56.786186,38
1999,Richer,42.020977,115.73271,75.667252,38
2010,Middle,36.573265,65.580215,41.568703,38
2021,Poorest,22.05677,28.265245,16.378487,38
2003,Richer,36.625313,98.340729,57.408638,38
2003,Richest,35.952122,66.109741,41.943111,38
1993,Poorest,54.603828,86.596497,57.803947,38
2003,Poorer,45.288605,104.63967,63.040108,38
1993,Richest,36.154968,75.94693,44.753456,38
1999,Poorest,42.488228,138.76385,65.336731,38
1999,Middle,53.556477,120.91015,62.222157,38
2021,Poorer,15.762758,25.912779,16.220167,38
1993,Poorer,58.546726,106.43502,60.9603,38
2021,Middle,22.810471,21.655186,16.756508,38
1993,Richer,44.821831,102.12551,54.8545,38
2021,Richer,20.096159,17.694906,10.23587,38
2003,Middle,35.281708,113.63647,46.604874,38
1993,Middle,59.985302,109.33309,60.815243,38
2021,Richest,16.933813,9.7103701,9.3622074,38
2010,Poorest,33.052731,86.147385,55.531528,38
1999,Richest,31.807747,74.218094,42.776421,38
2010,Richest,25.430355,42.999077,28.115303,38
1999,Poorer,46.541805,113.60001,71.993439,38
2010,Richer,31.085672,63.836441,36.101807,38
2010,Poorer,35.6852,50.704037,50.47485,39
2016,Richer,25.341326,22.124468,17.991198,39
2016,Poorest,33.797249,52.455479,32.740158,39
2010,Richest,29.554451,29.240549,21.020744,39
2010,Poorest,37.120388,55.721798,59.023167,39
2016,Richest,20.974655,15.793526,14.852028,39
2016,Middle,24.922243,29.787989,21.190432,39
2010,Middle,38.269032,57.072193,43.193523,39
2016,Poorer,18.463409,35.86869,33.964779,39
2010,Richer,41.962204,46.060143,32.76416,39
2004,Middle,38.928272,67.011688,43.975071,41
2011,Richer,31.401678,32.269024,26.801512,41
1998,Richest,32.485676,30.915506,23.363445,41
1998,Middle,39.33762,63.043518,33.266483,41
1991,Poorest,52.300423,96.61702,51.60508,41
2018,Poorest,29.849979,48.095833,32.703884,41
1998,Richer,21.662573,58.666748,36.985291,41
2004,Poorer,30.955442,70.819916,59.855011,41
2018,Poorer,35.703758,49.522972,26.164665,41
1991,Richer,30.754238,55.1703,34.376507,41
2004,Richer,26.419781,51.57782,36.815578,41
1998,Poorer,41.898743,75.255974,44.394691,41
2004,Richest,28.58518,36.423084,22.594736,41
2018,Richer,28.451731,25.814594,19.924322,41
2011,Middle,29.297272,53.772362,36.553879,41
2018,Richest,24.478359,10.769891,13.738674,41
1991,Richest,30.755775,30.388458,20.471867,41
2011,Poorest,40.081757,93.267815,50.106323,41
1998,Poorest,58.896023,90.704536,49.46603,41
1991,Middle,44.896431,63.35955,33.866188,41
2018,Middle,27.94339,36.831703,19.912949,41
1991,Poorer,51.637218,70.035698,49.403339,41
2004,Poorest,44.66185,87.990807,55.892937,41
2011,Richest,29.142801,20.970217,21.873636,41
2011,Poorer,30.328566,72.874947,40.901093,41
1994,Poorest,63.202557,60.516865,69.102829,42
1994,Middle,40.166462,58.284039,58.991917,42
1994,Richest,25.256975,44.628632,28.427778,42
1994,Poorer,49.601204,65.938072,67.108994,42
1994,Richer,43.581554,52.180428,54.029484,42
2004,Poorest,58.350075,66.852936,50.836357,43
2004,Poorer,46.183128,85.530296,76.209526,43
2004,Richer,45.311455,102.49052,76.981041,43
2014,Poorest,35.485851,75.372551,49.644733,43
1997,Middle,58.560028,104.22369,61.519859,43
2014,Middle,39.54063,57.074726,45.269672,43
2014,Richest,36.781319,56.817276,44.544769,43
1997,Richer,49.391281,88.398178,65.565094,43
1997,Richest,34.61639,82.519737,54.700993,43
1997,Poorest,32.090523,90.611046,47.739594,43
2004,Richest,36.51754,85.606468,64.47142,43
2014,Poorer,35.62701,78.319916,49.814548,43
2014,Richer,33.730213,61.409363,38.051121,43
1997,Poorer,59.841774,91.042091,76.843452,43
2004,Middle,51.405106,94.718239,65.638969,43
